#    L    TT             EE             BB             TE          
   688    0.17079E+04    0.36005E+02    0.64733E-01   -0.70238E+02
   689    0.17102E+04    0.36008E+02    0.64779E-01   -0.71785E+02
   690    0.17125E+04    0.36007E+02    0.64826E-01   -0.73326E+02
   691    0.17151E+04    0.35998E+02    0.64873E-01   -0.74853E+02
   692    0.17177E+04    0.35985E+02    0.64921E-01   -0.76367E+02
   693    0.17207E+04    0.35966E+02    0.64970E-01   -0.77875E+02
   694    0.17236E+04    0.35940E+02    0.65019E-01   -0.79363E+02
   695    0.17269E+04    0.35911E+02    0.65069E-01   -0.80837E+02
   696    0.17303E+04    0.35875E+02    0.65120E-01   -0.82313E+02
   697    0.17338E+04    0.35833E+02    0.65172E-01   -0.83762E+02
   698    0.17375E+04    0.35785E+02    0.65225E-01   -0.85197E+02
   699    0.17413E+04    0.35732E+02    0.65278E-01   -0.86612E+02
   700    0.17454E+04    0.35673E+02    0.65332E-01   -0.88015E+02
   701    0.17496E+04    0.35609E+02    0.65387E-01   -0.89404E+02
   702    0.17539E+04    0.35539E+02    0.65443E-01   -0.90766E+02
   703    0.17583E+04    0.35464E+02    0.65500E-01   -0.92130E+02
   704    0.17629E+04    0.35384E+02    0.65558E-01   -0.93459E+02
   705    0.17676E+04    0.35298E+02    0.65616E-01   -0.94768E+02
   706    0.17725E+04    0.35207E+02    0.65675E-01   -0.96064E+02
   707    0.17774E+04    0.35110E+02    0.65736E-01   -0.97341E+02
   708    0.17827E+04    0.35009E+02    0.65797E-01   -0.98582E+02
   709    0.17879E+04    0.34902E+02    0.65859E-01   -0.99819E+02
   710    0.17934E+04    0.34789E+02    0.65922E-01   -0.10103E+03
   711    0.17989E+04    0.34672E+02    0.65986E-01   -0.10221E+03
   712    0.18046E+04    0.34550E+02    0.66050E-01   -0.10338E+03
   713    0.18104E+04    0.34423E+02    0.66116E-01   -0.10451E+03
   714    0.18162E+04    0.34292E+02    0.66183E-01   -0.10563E+03
   715    0.18223E+04    0.34155E+02    0.66250E-01   -0.10672E+03
   716    0.18284E+04    0.34013E+02    0.66318E-01   -0.10779E+03
   717    0.18347E+04    0.33867E+02    0.66388E-01   -0.10882E+03
   718    0.18410E+04    0.33716E+02    0.66458E-01   -0.10984E+03
   719    0.18474E+04    0.33559E+02    0.66529E-01   -0.11082E+03
   720    0.18539E+04    0.33399E+02    0.66601E-01   -0.11179E+03
   721    0.18606E+04    0.33235E+02    0.66674E-01   -0.11271E+03
   722    0.18673E+04    0.33066E+02    0.66747E-01   -0.11361E+03
   723    0.18741E+04    0.32893E+02    0.66822E-01   -0.11449E+03
   724    0.18810E+04    0.32715E+02    0.66897E-01   -0.11534E+03
   725    0.18880E+04    0.32534E+02    0.66974E-01   -0.11616E+03
   726    0.18951E+04    0.32351E+02    0.67051E-01   -0.11694E+03
   727    0.19022E+04    0.32161E+02    0.67129E-01   -0.11770E+03
   728    0.19094E+04    0.31967E+02    0.67208E-01   -0.11843E+03
   729    0.19166E+04    0.31770E+02    0.67288E-01   -0.11913E+03
   730    0.19239E+04    0.31570E+02    0.67369E-01   -0.11980E+03
   731    0.19313E+04    0.31365E+02    0.67450E-01   -0.12044E+03
   732    0.19387E+04    0.31158E+02    0.67532E-01   -0.12103E+03
   733    0.19463E+04    0.30947E+02    0.67616E-01   -0.12161E+03
   734    0.19538E+04    0.30733E+02    0.67699E-01   -0.12214E+03
   735    0.19615E+04    0.30514E+02    0.67784E-01   -0.12266E+03
   736    0.19690E+04    0.30293E+02    0.67870E-01   -0.12313E+03
   737    0.19767E+04    0.30070E+02    0.67956E-01   -0.12358E+03
   738    0.19844E+04    0.29844E+02    0.68043E-01   -0.12399E+03
   739    0.19921E+04    0.29615E+02    0.68131E-01   -0.12436E+03
   740    0.19998E+04    0.29383E+02    0.68219E-01   -0.12471E+03
   741    0.20076E+04    0.29147E+02    0.68309E-01   -0.12502E+03
   742    0.20154E+04    0.28911E+02    0.68398E-01   -0.12530E+03
   743    0.20232E+04    0.28674E+02    0.68489E-01   -0.12554E+03
   744    0.20311E+04    0.28433E+02    0.68580E-01   -0.12575E+03
   745    0.20389E+04    0.28189E+02    0.68672E-01   -0.12594E+03
   746    0.20467E+04    0.27945E+02    0.68765E-01   -0.12607E+03
   747    0.20544E+04    0.27697E+02    0.68858E-01   -0.12618E+03
   748    0.20622E+04    0.27449E+02    0.68952E-01   -0.12625E+03
   749    0.20701E+04    0.27197E+02    0.69047E-01   -0.12630E+03
   750    0.20778E+04    0.26945E+02    0.69142E-01   -0.12631E+03
   751    0.20856E+04    0.26691E+02    0.69238E-01   -0.12629E+03
   752    0.20934E+04    0.26437E+02    0.69334E-01   -0.12622E+03
   753    0.21011E+04    0.26181E+02    0.69431E-01   -0.12613E+03
   754    0.21088E+04    0.25924E+02    0.69528E-01   -0.12600E+03
   755    0.21165E+04    0.25665E+02    0.69626E-01   -0.12584E+03
   756    0.21240E+04    0.25406E+02    0.69725E-01   -0.12564E+03
   757    0.21317E+04    0.25147E+02    0.69824E-01   -0.12541E+03
   758    0.21392E+04    0.24887E+02    0.69923E-01   -0.12514E+03
   759    0.21467E+04    0.24626E+02    0.70023E-01   -0.12484E+03
   760    0.21542E+04    0.24364E+02    0.70123E-01   -0.12451E+03
   761    0.21615E+04    0.24103E+02    0.70224E-01   -0.12414E+03
   762    0.21689E+04    0.23842E+02    0.70325E-01   -0.12375E+03
   763    0.21762E+04    0.23581E+02    0.70427E-01   -0.12331E+03
   764    0.21834E+04    0.23320E+02    0.70529E-01   -0.12285E+03
   765    0.21905E+04    0.23058E+02    0.70631E-01   -0.12235E+03
   766    0.21976E+04    0.22798E+02    0.70733E-01   -0.12182E+03
   767    0.22045E+04    0.22538E+02    0.70836E-01   -0.12126E+03
   768    0.22114E+04    0.22279E+02    0.70939E-01   -0.12066E+03
   769    0.22183E+04    0.22019E+02    0.71043E-01   -0.12003E+03
   770    0.22250E+04    0.21761E+02    0.71146E-01   -0.11938E+03
   771    0.22316E+04    0.21504E+02    0.71250E-01   -0.11868E+03
   772    0.22381E+04    0.21248E+02    0.71354E-01   -0.11795E+03
   773    0.22446E+04    0.20993E+02    0.71459E-01   -0.11720E+03
   774    0.22509E+04    0.20740E+02    0.71563E-01   -0.11642E+03
   775    0.22572E+04    0.20488E+02    0.71667E-01   -0.11560E+03
   776    0.22633E+04    0.20238E+02    0.71772E-01   -0.11476E+03
   777    0.22692E+04    0.19990E+02    0.71877E-01   -0.11388E+03
   778    0.22753E+04    0.19743E+02    0.71982E-01   -0.11297E+03
   779    0.22810E+04    0.19499E+02    0.72086E-01   -0.11204E+03
   780    0.22867E+04    0.19254E+02    0.72191E-01   -0.11107E+03
   781    0.22922E+04    0.19014E+02    0.72296E-01   -0.11008E+03
   782    0.22976E+04    0.18776E+02    0.72401E-01   -0.10908E+03
   783    0.23030E+04    0.18540E+02    0.72506E-01   -0.10803E+03
   784    0.23081E+04    0.18306E+02    0.72610E-01   -0.10695E+03
   785    0.23131E+04    0.18075E+02    0.72715E-01   -0.10586E+03
   786    0.23180E+04    0.17846E+02    0.72819E-01   -0.10471E+03
   787    0.23228E+04    0.17620E+02    0.72923E-01   -0.10355E+03
   788    0.23273E+04    0.17397E+02    0.73027E-01   -0.10237E+03
   789    0.23318E+04    0.17175E+02    0.73131E-01   -0.10117E+03
   790    0.23362E+04    0.16959E+02    0.73235E-01   -0.99938E+02
   791    0.23404E+04    0.16744E+02    0.73338E-01   -0.98675E+02
   792    0.23444E+04    0.16534E+02    0.73441E-01   -0.97400E+02
   793    0.23483E+04    0.16328E+02    0.73544E-01   -0.96089E+02
   794    0.23519E+04    0.16125E+02    0.73646E-01   -0.94764E+02
   795    0.23555E+04    0.15924E+02    0.73748E-01   -0.93412E+02
   796    0.23590E+04    0.15729E+02    0.73850E-01   -0.92047E+02
   797    0.23622E+04    0.15536E+02    0.73951E-01   -0.90653E+02
   798    0.23652E+04    0.15347E+02    0.74052E-01   -0.89246E+02
   799    0.23681E+04    0.15163E+02    0.74152E-01   -0.87818E+02
   800    0.23709E+04    0.14982E+02    0.74252E-01   -0.86369E+02
   801    0.23735E+04    0.14805E+02    0.74351E-01   -0.84906E+02
   802    0.23758E+04    0.14633E+02    0.74450E-01   -0.83408E+02
   803    0.23781E+04    0.14463E+02    0.74548E-01   -0.81911E+02
   804    0.23802E+04    0.14299E+02    0.74646E-01   -0.80385E+02
   805    0.23822E+04    0.14139E+02    0.74743E-01   -0.78845E+02
   806    0.23839E+04    0.13983E+02    0.74839E-01   -0.77292E+02
   807    0.23854E+04    0.13833E+02    0.74934E-01   -0.75724E+02
   808    0.23867E+04    0.13687E+02    0.75029E-01   -0.74136E+02
   809    0.23880E+04    0.13545E+02    0.75124E-01   -0.72540E+02
   810    0.23889E+04    0.13408E+02    0.75217E-01   -0.70924E+02
   811    0.23897E+04    0.13276E+02    0.75310E-01   -0.69293E+02
   812    0.23903E+04    0.13151E+02    0.75402E-01   -0.67654E+02
   813    0.23908E+04    0.13028E+02    0.75493E-01   -0.66005E+02
   814    0.23911E+04    0.12911E+02    0.75583E-01   -0.64344E+02
   815    0.23912E+04    0.12799E+02    0.75672E-01   -0.62673E+02
   816    0.23911E+04    0.12692E+02    0.75761E-01   -0.60992E+02
   817    0.23908E+04    0.12590E+02    0.75849E-01   -0.59302E+02
   818    0.23904E+04    0.12494E+02    0.75935E-01   -0.57603E+02
   819    0.23897E+04    0.12403E+02    0.76021E-01   -0.55897E+02
   820    0.23890E+04    0.12317E+02    0.76106E-01   -0.54182E+02
   821    0.23879E+04    0.12236E+02    0.76190E-01   -0.52462E+02
   822    0.23867E+04    0.12161E+02    0.76273E-01   -0.50735E+02
   823    0.23854E+04    0.12091E+02    0.76355E-01   -0.49003E+02
   824    0.23837E+04    0.12027E+02    0.76436E-01   -0.47265E+02
   825    0.23820E+04    0.11968E+02    0.76516E-01   -0.45524E+02
   826    0.23800E+04    0.11916E+02    0.76595E-01   -0.43779E+02
   827    0.23778E+04    0.11868E+02    0.76673E-01   -0.42032E+02
   828    0.23755E+04    0.11826E+02    0.76749E-01   -0.40283E+02
   829    0.23730E+04    0.11790E+02    0.76825E-01   -0.38533E+02
   830    0.23703E+04    0.11760E+02    0.76900E-01   -0.36783E+02
   831    0.23674E+04    0.11735E+02    0.76973E-01   -0.35033E+02
   832    0.23643E+04    0.11715E+02    0.77045E-01   -0.33284E+02
   833    0.23611E+04    0.11701E+02    0.77116E-01   -0.31536E+02
   834    0.23576E+04    0.11693E+02    0.77186E-01   -0.29790E+02
   835    0.23541E+04    0.11692E+02    0.77255E-01   -0.28046E+02
   836    0.23502E+04    0.11695E+02    0.77323E-01   -0.26305E+02
   837    0.23462E+04    0.11704E+02    0.77389E-01   -0.24569E+02
   838    0.23421E+04    0.11719E+02    0.77454E-01   -0.22836E+02
   839    0.23376E+04    0.11739E+02    0.77518E-01   -0.21108E+02
   840    0.23331E+04    0.11766E+02    0.77581E-01   -0.19386E+02
   841    0.23284E+04    0.11798E+02    0.77642E-01   -0.17671E+02
   842    0.23235E+04    0.11835E+02    0.77703E-01   -0.15961E+02
   843    0.23185E+04    0.11878E+02    0.77762E-01   -0.14261E+02
   844    0.23131E+04    0.11927E+02    0.77819E-01   -0.12568E+02
   845    0.23077E+04    0.11981E+02    0.77876E-01   -0.10885E+02
   846    0.23022E+04    0.12042E+02    0.77931E-01   -0.92115E+01
   847    0.22966E+04    0.12107E+02    0.77984E-01   -0.75476E+01
   848    0.22907E+04    0.12179E+02    0.78037E-01   -0.58952E+01
   849    0.22846E+04    0.12255E+02    0.78088E-01   -0.42536E+01
   850    0.22784E+04    0.12337E+02    0.78138E-01   -0.26237E+01
   851    0.22720E+04    0.12425E+02    0.78186E-01   -0.10063E+01
   852    0.22655E+04    0.12519E+02    0.78233E-01    0.59852E+00
   853    0.22588E+04    0.12618E+02    0.78279E-01    0.21899E+01
   854    0.22519E+04    0.12722E+02    0.78324E-01    0.37666E+01
   855    0.22448E+04    0.12832E+02    0.78367E-01    0.53295E+01
   856    0.22378E+04    0.12946E+02    0.78408E-01    0.68768E+01
   857    0.22304E+04    0.13065E+02    0.78449E-01    0.84079E+01
   858    0.22229E+04    0.13192E+02    0.78488E-01    0.99228E+01
   859    0.22153E+04    0.13321E+02    0.78525E-01    0.11422E+02
   860    0.22076E+04    0.13456E+02    0.78561E-01    0.12903E+02
   861    0.21996E+04    0.13597E+02    0.78596E-01    0.14366E+02
   862    0.21916E+04    0.13742E+02    0.78630E-01    0.15811E+02
   863    0.21834E+04    0.13892E+02    0.78662E-01    0.17237E+02
   864    0.21751E+04    0.14047E+02    0.78692E-01    0.18643E+02
   865    0.21665E+04    0.14207E+02    0.78721E-01    0.20028E+02
   866    0.21581E+04    0.14371E+02    0.78749E-01    0.21393E+02
   867    0.21494E+04    0.14541E+02    0.78776E-01    0.22737E+02
   868    0.21406E+04    0.14715E+02    0.78801E-01    0.24060E+02
   869    0.21317E+04    0.14894E+02    0.78824E-01    0.25362E+02
   870    0.21226E+04    0.15076E+02    0.78847E-01    0.26640E+02
   871    0.21134E+04    0.15264E+02    0.78867E-01    0.27896E+02
   872    0.21042E+04    0.15456E+02    0.78887E-01    0.29129E+02
   873    0.20947E+04    0.15652E+02    0.78905E-01    0.30339E+02
   874    0.20853E+04    0.15853E+02    0.78922E-01    0.31524E+02
   875    0.20756E+04    0.16056E+02    0.78937E-01    0.32686E+02
   876    0.20659E+04    0.16265E+02    0.78951E-01    0.33824E+02
   877    0.20562E+04    0.16477E+02    0.78963E-01    0.34935E+02
   878    0.20462E+04    0.16692E+02    0.78975E-01    0.36022E+02
   879    0.20362E+04    0.16912E+02    0.78984E-01    0.37083E+02
   880    0.20262E+04    0.17136E+02    0.78993E-01    0.38119E+02
   881    0.20160E+04    0.17362E+02    0.79000E-01    0.39128E+02
   882    0.20058E+04    0.17592E+02    0.79006E-01    0.40110E+02
   883    0.19955E+04    0.17827E+02    0.79010E-01    0.41064E+02
   884    0.19850E+04    0.18063E+02    0.79014E-01    0.41992E+02
   885    0.19745E+04    0.18303E+02    0.79015E-01    0.42892E+02
   886    0.19640E+04    0.18547E+02    0.79016E-01    0.43764E+02
   887    0.19533E+04    0.18793E+02    0.79015E-01    0.44608E+02
   888    0.19427E+04    0.19042E+02    0.79013E-01    0.45424E+02
   889    0.19318E+04    0.19293E+02    0.79010E-01    0.46212E+02
   890    0.19210E+04    0.19549E+02    0.79006E-01    0.46969E+02
   891    0.19102E+04    0.19806E+02    0.79000E-01    0.47698E+02
   892    0.18993E+04    0.20065E+02    0.78993E-01    0.48400E+02
   893    0.18882E+04    0.20328E+02    0.78985E-01    0.49071E+02
   894    0.18773E+04    0.20592E+02    0.78976E-01    0.49713E+02
   895    0.18662E+04    0.20858E+02    0.78965E-01    0.50327E+02
   896    0.18550E+04    0.21126E+02    0.78954E-01    0.50910E+02
   897    0.18439E+04    0.21397E+02    0.78941E-01    0.51464E+02
   898    0.18327E+04    0.21669E+02    0.78927E-01    0.51989E+02
   899    0.18215E+04    0.21944E+02    0.78912E-01    0.52483E+02
   900    0.18103E+04    0.22219E+02    0.78896E-01    0.52948E+02
   901    0.17991E+04    0.22496E+02    0.78879E-01    0.53383E+02
   902    0.17878E+04    0.22775E+02    0.78861E-01    0.53788E+02
   903    0.17764E+04    0.23054E+02    0.78842E-01    0.54162E+02
   904    0.17652E+04    0.23335E+02    0.78821E-01    0.54506E+02
   905    0.17538E+04    0.23617E+02    0.78800E-01    0.54820E+02
   906    0.17425E+04    0.23900E+02    0.78778E-01    0.55103E+02
   907    0.17312E+04    0.24183E+02    0.78755E-01    0.55355E+02
   908    0.17199E+04    0.24467E+02    0.78731E-01    0.55578E+02
   909    0.17086E+04    0.24752E+02    0.78706E-01    0.55770E+02
   910    0.16973E+04    0.25038E+02    0.78680E-01    0.55932E+02
   911    0.16860E+04    0.25323E+02    0.78653E-01    0.56063E+02
   912    0.16746E+04    0.25609E+02    0.78625E-01    0.56164E+02
   913    0.16631E+04    0.25894E+02    0.78597E-01    0.56235E+02
   914    0.16519E+04    0.26180E+02    0.78568E-01    0.56276E+02
   915    0.16406E+04    0.26466E+02    0.78538E-01    0.56288E+02
   916    0.16294E+04    0.26751E+02    0.78507E-01    0.56269E+02
   917    0.16181E+04    0.27037E+02    0.78475E-01    0.56221E+02
   918    0.16070E+04    0.27321E+02    0.78443E-01    0.56143E+02
   919    0.15958E+04    0.27605E+02    0.78410E-01    0.56035E+02
   920    0.15847E+04    0.27888E+02    0.78376E-01    0.55897E+02
   921    0.15737E+04    0.28171E+02    0.78341E-01    0.55730E+02
   922    0.15626E+04    0.28452E+02    0.78306E-01    0.55535E+02
   923    0.15516E+04    0.28732E+02    0.78271E-01    0.55310E+02
   924    0.15406E+04    0.29012E+02    0.78234E-01    0.55057E+02
   925    0.15298E+04    0.29289E+02    0.78197E-01    0.54774E+02
   926    0.15189E+04    0.29566E+02    0.78160E-01    0.54464E+02
   927    0.15081E+04    0.29841E+02    0.78122E-01    0.54126E+02
   928    0.14974E+04    0.30115E+02    0.78083E-01    0.53759E+02
   929    0.14867E+04    0.30386E+02    0.78044E-01    0.53366E+02
   930    0.14761E+04    0.30655E+02    0.78005E-01    0.52945E+02
   931    0.14656E+04    0.30924E+02    0.77965E-01    0.52497E+02
   932    0.14551E+04    0.31189E+02    0.77924E-01    0.52022E+02
   933    0.14447E+04    0.31453E+02    0.77884E-01    0.51522E+02
   934    0.14344E+04    0.31715E+02    0.77842E-01    0.50996E+02
   935    0.14241E+04    0.31974E+02    0.77801E-01    0.50442E+02
   936    0.14140E+04    0.32230E+02    0.77759E-01    0.49863E+02
   937    0.14039E+04    0.32484E+02    0.77716E-01    0.49260E+02
   938    0.13939E+04    0.32736E+02    0.77674E-01    0.48631E+02
   939    0.13840E+04    0.32984E+02    0.77631E-01    0.47978E+02
   940    0.13741E+04    0.33230E+02    0.77588E-01    0.47300E+02
   941    0.13644E+04    0.33472E+02    0.77544E-01    0.46598E+02
   942    0.13547E+04    0.33712E+02    0.77501E-01    0.45873E+02
   943    0.13452E+04    0.33948E+02    0.77457E-01    0.45125E+02
   944    0.13358E+04    0.34181E+02    0.77413E-01    0.44354E+02
   945    0.13264E+04    0.34410E+02    0.77369E-01    0.43560E+02
   946    0.13172E+04    0.34637E+02    0.77325E-01    0.42744E+02
   947    0.13080E+04    0.34859E+02    0.77280E-01    0.41907E+02
   948    0.12989E+04    0.35080E+02    0.77236E-01    0.41049E+02
   949    0.12900E+04    0.35294E+02    0.77192E-01    0.40171E+02
   950    0.12811E+04    0.35506E+02    0.77147E-01    0.39271E+02
   951    0.12724E+04    0.35715E+02    0.77103E-01    0.38352E+02
   952    0.12638E+04    0.35919E+02    0.77058E-01    0.37415E+02
   953    0.12553E+04    0.36119E+02    0.77013E-01    0.36457E+02
   954    0.12469E+04    0.36315E+02    0.76969E-01    0.35482E+02
   955    0.12386E+04    0.36506E+02    0.76925E-01    0.34488E+02
   956    0.12304E+04    0.36694E+02    0.76880E-01    0.33476E+02
   957    0.12224E+04    0.36877E+02    0.76836E-01    0.32448E+02
   958    0.12144E+04    0.37055E+02    0.76792E-01    0.31402E+02
   959    0.12067E+04    0.37230E+02    0.76748E-01    0.30340E+02
   960    0.11990E+04    0.37399E+02    0.76705E-01    0.29263E+02
   961    0.11914E+04    0.37564E+02    0.76661E-01    0.28171E+02
   962    0.11840E+04    0.37725E+02    0.76618E-01    0.27064E+02
   963    0.11767E+04    0.37881E+02    0.76575E-01    0.25942E+02
   964    0.11695E+04    0.38031E+02    0.76532E-01    0.24808E+02
   965    0.11624E+04    0.38178E+02    0.76490E-01    0.23661E+02
   966    0.11556E+04    0.38319E+02    0.76448E-01    0.22501E+02
   967    0.11487E+04    0.38457E+02    0.76406E-01    0.21328E+02
   968    0.11420E+04    0.38587E+02    0.76364E-01    0.20144E+02
   969    0.11355E+04    0.38713E+02    0.76323E-01    0.18950E+02
   970    0.11292E+04    0.38834E+02    0.76283E-01    0.17744E+02
   971    0.11229E+04    0.38951E+02    0.76242E-01    0.16528E+02
   972    0.11167E+04    0.39061E+02    0.76203E-01    0.15304E+02
   973    0.11107E+04    0.39166E+02    0.76163E-01    0.14069E+02
   974    0.11048E+04    0.39267E+02    0.76124E-01    0.12826E+02
   975    0.10991E+04    0.39362E+02    0.76086E-01    0.11575E+02
   976    0.10936E+04    0.39451E+02    0.76048E-01    0.10317E+02
   977    0.10881E+04    0.39535E+02    0.76010E-01    0.90526E+01
   978    0.10827E+04    0.39614E+02    0.75973E-01    0.77815E+01
   979    0.10776E+04    0.39688E+02    0.75937E-01    0.65051E+01
   980    0.10726E+04    0.39756E+02    0.75901E-01    0.52232E+01
   981    0.10677E+04    0.39817E+02    0.75866E-01    0.39364E+01
   982    0.10629E+04    0.39875E+02    0.75831E-01    0.26457E+01
   983    0.10583E+04    0.39927E+02    0.75797E-01    0.13512E+01
   984    0.10538E+04    0.39971E+02    0.75764E-01    0.53418E-01
   985    0.10494E+04    0.40011E+02    0.75731E-01   -0.12472E+01
   986    0.10452E+04    0.40046E+02    0.75699E-01   -0.25497E+01
   987    0.10411E+04    0.40075E+02    0.75668E-01   -0.38542E+01
   988    0.10371E+04    0.40099E+02    0.75637E-01   -0.51597E+01
   989    0.10333E+04    0.40117E+02    0.75607E-01   -0.64648E+01
   990    0.10297E+04    0.40133E+02    0.75578E-01   -0.77712E+01
   991    0.10262E+04    0.40139E+02    0.75549E-01   -0.90767E+01
   992    0.10228E+04    0.40141E+02    0.75521E-01   -0.10382E+02
   993    0.10194E+04    0.40136E+02    0.75494E-01   -0.11685E+02
   994    0.10163E+04    0.40127E+02    0.75467E-01   -0.12986E+02
   995    0.10134E+04    0.40113E+02    0.75442E-01   -0.14285E+02
   996    0.10105E+04    0.40091E+02    0.75417E-01   -0.15580E+02
   997    0.10078E+04    0.40066E+02    0.75392E-01   -0.16873E+02
   998    0.10052E+04    0.40034E+02    0.75369E-01   -0.18161E+02
   999    0.10027E+04    0.39997E+02    0.75346E-01   -0.19445E+02
  1000    0.10004E+04    0.39955E+02    0.75324E-01   -0.20724E+02
  1001    0.99817E+03    0.39907E+02    0.75303E-01   -0.21996E+02
  1002    0.99603E+03    0.39854E+02    0.75283E-01   -0.23263E+02
  1003    0.99409E+03    0.39795E+02    0.75263E-01   -0.24524E+02
  1004    0.99229E+03    0.39731E+02    0.75245E-01   -0.25777E+02
  1005    0.99070E+03    0.39662E+02    0.75227E-01   -0.27022E+02
  1006    0.98916E+03    0.39587E+02    0.75210E-01   -0.28260E+02
  1007    0.98769E+03    0.39506E+02    0.75193E-01   -0.29489E+02
  1008    0.98612E+03    0.39421E+02    0.75178E-01   -0.30709E+02
  1009    0.98492E+03    0.39330E+02    0.75163E-01   -0.31920E+02
  1010    0.98385E+03    0.39235E+02    0.75149E-01   -0.33121E+02
  1011    0.98284E+03    0.39135E+02    0.75136E-01   -0.34311E+02
  1012    0.98196E+03    0.39029E+02    0.75124E-01   -0.35492E+02
  1013    0.98122E+03    0.38920E+02    0.75113E-01   -0.36660E+02
  1014    0.98062E+03    0.38804E+02    0.75102E-01   -0.37818E+02
  1015    0.98000E+03    0.38685E+02    0.75092E-01   -0.38963E+02
  1016    0.97960E+03    0.38560E+02    0.75084E-01   -0.40096E+02
  1017    0.97933E+03    0.38431E+02    0.75075E-01   -0.41217E+02
  1018    0.97912E+03    0.38295E+02    0.75068E-01   -0.42324E+02
  1019    0.97898E+03    0.38157E+02    0.75062E-01   -0.43418E+02
  1020    0.97904E+03    0.38012E+02    0.75056E-01   -0.44498E+02
  1021    0.97917E+03    0.37864E+02    0.75051E-01   -0.45565E+02
  1022    0.97936E+03    0.37711E+02    0.75047E-01   -0.46616E+02
  1023    0.97970E+03    0.37553E+02    0.75044E-01   -0.47651E+02
  1024    0.98009E+03    0.37390E+02    0.75042E-01   -0.48671E+02
  1025    0.98055E+03    0.37225E+02    0.75040E-01   -0.49673E+02
  1026    0.98137E+03    0.37054E+02    0.75040E-01   -0.50660E+02
  1027    0.98203E+03    0.36880E+02    0.75040E-01   -0.51631E+02
  1028    0.98276E+03    0.36702E+02    0.75041E-01   -0.52583E+02
  1029    0.98363E+03    0.36519E+02    0.75042E-01   -0.53520E+02
  1030    0.98456E+03    0.36333E+02    0.75045E-01   -0.54439E+02
  1031    0.98541E+03    0.36144E+02    0.75048E-01   -0.55338E+02
  1032    0.98655E+03    0.35948E+02    0.75052E-01   -0.56224E+02
  1033    0.98768E+03    0.35750E+02    0.75057E-01   -0.57090E+02
  1034    0.98903E+03    0.35550E+02    0.75062E-01   -0.57936E+02
  1035    0.99037E+03    0.35345E+02    0.75069E-01   -0.58765E+02
  1036    0.99178E+03    0.35136E+02    0.75076E-01   -0.59576E+02
  1037    0.99326E+03    0.34924E+02    0.75084E-01   -0.60367E+02
  1038    0.99487E+03    0.34710E+02    0.75092E-01   -0.61139E+02
  1039    0.99656E+03    0.34492E+02    0.75102E-01   -0.61888E+02
  1040    0.99817E+03    0.34270E+02    0.75112E-01   -0.62620E+02
  1041    0.10000E+04    0.34047E+02    0.75122E-01   -0.63328E+02
  1042    0.10018E+04    0.33820E+02    0.75134E-01   -0.64019E+02
  1043    0.10037E+04    0.33589E+02    0.75146E-01   -0.64687E+02
  1044    0.10057E+04    0.33356E+02    0.75159E-01   -0.65336E+02
  1045    0.10077E+04    0.33122E+02    0.75172E-01   -0.65966E+02
  1046    0.10098E+04    0.32884E+02    0.75186E-01   -0.66569E+02
  1047    0.10120E+04    0.32643E+02    0.75201E-01   -0.67161E+02
  1048    0.10141E+04    0.32401E+02    0.75217E-01   -0.67727E+02
  1049    0.10163E+04    0.32156E+02    0.75233E-01   -0.68267E+02
  1050    0.10186E+04    0.31909E+02    0.75249E-01   -0.68788E+02
  1051    0.10209E+04    0.31659E+02    0.75267E-01   -0.69290E+02
  1052    0.10233E+04    0.31408E+02    0.75285E-01   -0.69765E+02
  1053    0.10256E+04    0.31154E+02    0.75303E-01   -0.70222E+02
  1054    0.10280E+04    0.30900E+02    0.75322E-01   -0.70660E+02
  1055    0.10304E+04    0.30643E+02    0.75342E-01   -0.71072E+02
  1056    0.10328E+04    0.30385E+02    0.75362E-01   -0.71465E+02
  1057    0.10354E+04    0.30126E+02    0.75382E-01   -0.71832E+02
  1058    0.10380E+04    0.29866E+02    0.75404E-01   -0.72180E+02
  1059    0.10407E+04    0.29603E+02    0.75425E-01   -0.72502E+02
  1060    0.10433E+04    0.29340E+02    0.75447E-01   -0.72805E+02
  1061    0.10459E+04    0.29076E+02    0.75470E-01   -0.73081E+02
  1062    0.10486E+04    0.28811E+02    0.75493E-01   -0.73339E+02
  1063    0.10511E+04    0.28546E+02    0.75516E-01   -0.73571E+02
  1064    0.10538E+04    0.28279E+02    0.75540E-01   -0.73791E+02
  1065    0.10565E+04    0.28011E+02    0.75564E-01   -0.73984E+02
  1066    0.10591E+04    0.27744E+02    0.75589E-01   -0.74152E+02
  1067    0.10619E+04    0.27476E+02    0.75614E-01   -0.74292E+02
  1068    0.10646E+04    0.27207E+02    0.75639E-01   -0.74414E+02
  1069    0.10673E+04    0.26939E+02    0.75665E-01   -0.74525E+02
  1070    0.10701E+04    0.26670E+02    0.75691E-01   -0.74609E+02
  1071    0.10727E+04    0.26402E+02    0.75717E-01   -0.74666E+02
  1072    0.10755E+04    0.26133E+02    0.75743E-01   -0.74697E+02
  1073    0.10783E+04    0.25864E+02    0.75770E-01   -0.74709E+02
  1074    0.10809E+04    0.25597E+02    0.75797E-01   -0.74702E+02
  1075    0.10837E+04    0.25328E+02    0.75824E-01   -0.74676E+02
  1076    0.10863E+04    0.25061E+02    0.75851E-01   -0.74623E+02
