#    L    TT             EE             BB             TE          
    90    0.23439E+04    0.59070E+00    0.20494E-02   -0.16317E+02
    91    0.23726E+04    0.60537E+00    0.20956E-02   -0.16924E+02
    92    0.24016E+04    0.62002E+00    0.21422E-02   -0.17536E+02
    93    0.24308E+04    0.63465E+00    0.21895E-02   -0.18152E+02
    94    0.24601E+04    0.64921E+00    0.22373E-02   -0.18771E+02
    95    0.24897E+04    0.66371E+00    0.22856E-02   -0.19395E+02
    96    0.25193E+04    0.67813E+00    0.23346E-02   -0.20022E+02
    97    0.25493E+04    0.69246E+00    0.23841E-02   -0.20651E+02
    98    0.25795E+04    0.70670E+00    0.24342E-02   -0.21281E+02
    99    0.26098E+04    0.72080E+00    0.24848E-02   -0.21914E+02
   100    0.26403E+04    0.73477E+00    0.25360E-02   -0.22546E+02
   101    0.26710E+04    0.74867E+00    0.25879E-02   -0.23180E+02
   102    0.27023E+04    0.76235E+00    0.26403E-02   -0.23813E+02
   103    0.27334E+04    0.77588E+00    0.26932E-02   -0.24448E+02
   104    0.27648E+04    0.78927E+00    0.27468E-02   -0.25079E+02
   105    0.27963E+04    0.80244E+00    0.28010E-02   -0.25710E+02
   106    0.28280E+04    0.81547E+00    0.28558E-02   -0.26340E+02
   107    0.28596E+04    0.82821E+00    0.29112E-02   -0.26966E+02
   108    0.28916E+04    0.84073E+00    0.29671E-02   -0.27590E+02
   109    0.29238E+04    0.85297E+00    0.30237E-02   -0.28210E+02
   110    0.29560E+04    0.86491E+00    0.30809E-02   -0.28826E+02
   111    0.29884E+04    0.87665E+00    0.31388E-02   -0.29437E+02
   112    0.30209E+04    0.88809E+00    0.31972E-02   -0.30044E+02
   113    0.30536E+04    0.89925E+00    0.32563E-02   -0.30645E+02
   114    0.30864E+04    0.91005E+00    0.33159E-02   -0.31240E+02
   115    0.31195E+04    0.92064E+00    0.33763E-02   -0.31828E+02
   116    0.31525E+04    0.93079E+00    0.34372E-02   -0.32408E+02
   117    0.31858E+04    0.94058E+00    0.34988E-02   -0.32980E+02
   118    0.32192E+04    0.95017E+00    0.35610E-02   -0.33545E+02
   119    0.32527E+04    0.95939E+00    0.36239E-02   -0.34100E+02
   120    0.32863E+04    0.96811E+00    0.36874E-02   -0.34645E+02
   121    0.33198E+04    0.97662E+00    0.37516E-02   -0.35180E+02
   122    0.33535E+04    0.98463E+00    0.38164E-02   -0.35705E+02
   123    0.33872E+04    0.99220E+00    0.38819E-02   -0.36219E+02
   124    0.34209E+04    0.99942E+00    0.39481E-02   -0.36720E+02
   125    0.34546E+04    0.10062E+01    0.40149E-02   -0.37209E+02
   126    0.34884E+04    0.10126E+01    0.40824E-02   -0.37687E+02
