#    L    TT             EE             BB             TE             PP             TP             EP          
    54    0.14597E+04    0.14413E+00    0.00000E+00   -0.40898E+00    0.12470E-06    0.78391E-03   -0.72753E-06
    55    0.14801E+04    0.15284E+00    0.00000E+00   -0.64638E+00    0.12409E-06    0.76861E-03   -0.71238E-06
    56    0.15009E+04    0.16179E+00    0.00000E+00   -0.89619E+00    0.12347E-06    0.75422E-03   -0.68771E-06
    57    0.15220E+04    0.17088E+00    0.00000E+00   -0.11582E+01    0.12283E-06    0.74063E-03   -0.65614E-06
    58    0.15434E+04    0.18012E+00    0.00000E+00   -0.14331E+01    0.12219E-06    0.72770E-03   -0.61975E-06
    59    0.15649E+04    0.18955E+00    0.00000E+00   -0.17214E+01    0.12154E-06    0.71525E-03   -0.58061E-06
    60    0.15866E+04    0.19923E+00    0.00000E+00   -0.20223E+01    0.12088E-06    0.70314E-03   -0.54079E-06
    61    0.16087E+04    0.20925E+00    0.00000E+00   -0.23348E+01    0.12022E-06    0.69123E-03   -0.50231E-06
    62    0.16307E+04    0.21959E+00    0.00000E+00   -0.26599E+01    0.11954E-06    0.67947E-03   -0.46694E-06
    63    0.16529E+04    0.23023E+00    0.00000E+00   -0.29987E+01    0.11887E-06    0.66783E-03   -0.43637E-06
    64    0.16754E+04    0.24116E+00    0.00000E+00   -0.33524E+01    0.11819E-06    0.65630E-03   -0.41229E-06
    65    0.16980E+04    0.25236E+00    0.00000E+00   -0.37219E+01    0.11750E-06    0.64484E-03   -0.39642E-06
    66    0.17209E+04    0.26375E+00    0.00000E+00   -0.41053E+01    0.11681E-06    0.63345E-03   -0.39041E-06
    67    0.17439E+04    0.27535E+00    0.00000E+00   -0.44997E+01    0.11612E-06    0.62222E-03   -0.39579E-06
    68    0.17674E+04    0.28719E+00    0.00000E+00   -0.49033E+01    0.11543E-06    0.61125E-03   -0.41408E-06
    69    0.17911E+04    0.29923E+00    0.00000E+00   -0.53144E+01    0.11474E-06    0.60064E-03   -0.44677E-06
    70    0.18151E+04    0.31151E+00    0.00000E+00   -0.57344E+01    0.11405E-06    0.59050E-03   -0.49536E-06
    71    0.18392E+04    0.32403E+00    0.00000E+00   -0.61656E+01    0.11336E-06    0.58090E-03   -0.55921E-06
    72    0.18635E+04    0.33675E+00    0.00000E+00   -0.66095E+01    0.11266E-06    0.57179E-03   -0.62903E-06
    73    0.18879E+04    0.34965E+00    0.00000E+00   -0.70668E+01    0.11197E-06    0.56310E-03   -0.69343E-06
    74    0.19126E+04    0.36270E+00    0.00000E+00   -0.75366E+01    0.11127E-06    0.55475E-03   -0.74099E-06
    75    0.19375E+04    0.37593E+00    0.00000E+00   -0.80177E+01    0.11058E-06    0.54665E-03   -0.76035E-06
    76    0.19627E+04    0.38933E+00    0.00000E+00   -0.85093E+01    0.10988E-06    0.53875E-03   -0.74410E-06
    77    0.19883E+04    0.40289E+00    0.00000E+00   -0.90114E+01    0.10919E-06    0.53100E-03   -0.70081E-06
    78    0.20142E+04    0.41664E+00    0.00000E+00   -0.95254E+01    0.10849E-06    0.52336E-03   -0.64303E-06
    79    0.20403E+04    0.43053E+00    0.00000E+00   -0.10047E+02    0.10780E-06    0.51579E-03   -0.58326E-06
    80    0.20667E+04    0.44455E+00    0.00000E+00   -0.10579E+02    0.10711E-06    0.50827E-03   -0.53403E-06
    81    0.20932E+04    0.45867E+00    0.00000E+00   -0.11120E+02    0.10642E-06    0.50077E-03   -0.50543E-06
    82    0.21200E+04    0.47289E+00    0.00000E+00   -0.11670E+02    0.10573E-06    0.49332E-03   -0.49788E-06
    83    0.21470E+04    0.48720E+00    0.00000E+00   -0.12229E+02    0.10504E-06    0.48596E-03   -0.50940E-06
