#    L    TT             EE             BB             TE             PP             TP             EP          
   439    0.17542E+04    0.17702E+02    0.00000E+00   -0.58983E+02    0.19163E-07    0.11701E-04    0.15617E-05
   440    0.17621E+04    0.17553E+02    0.00000E+00   -0.59980E+02    0.19099E-07    0.11454E-04    0.15659E-05
   441    0.17703E+04    0.17403E+02    0.00000E+00   -0.60948E+02    0.19035E-07    0.11210E-04    0.15694E-05
   442    0.17785E+04    0.17250E+02    0.00000E+00   -0.61882E+02    0.18971E-07    0.10970E-04    0.15724E-05
   443    0.17870E+04    0.17095E+02    0.00000E+00   -0.62785E+02    0.18908E-07    0.10733E-04    0.15748E-05
   444    0.17956E+04    0.16939E+02    0.00000E+00   -0.63654E+02    0.18845E-07    0.10500E-04    0.15766E-05
   445    0.18044E+04    0.16780E+02    0.00000E+00   -0.64491E+02    0.18782E-07    0.10271E-04    0.15777E-05
   446    0.18133E+04    0.16620E+02    0.00000E+00   -0.65293E+02    0.18720E-07    0.10045E-04    0.15782E-05
   447    0.18224E+04    0.16459E+02    0.00000E+00   -0.66063E+02    0.18658E-07    0.98241E-05    0.15779E-05
   448    0.18316E+04    0.16295E+02    0.00000E+00   -0.66800E+02    0.18596E-07    0.96068E-05    0.15770E-05
   449    0.18411E+04    0.16130E+02    0.00000E+00   -0.67501E+02    0.18534E-07    0.93937E-05    0.15753E-05
   450    0.18506E+04    0.15964E+02    0.00000E+00   -0.68170E+02    0.18473E-07    0.91850E-05    0.15728E-05
   451    0.18603E+04    0.15796E+02    0.00000E+00   -0.68804E+02    0.18411E-07    0.89806E-05    0.15695E-05
   452    0.18700E+04    0.15627E+02    0.00000E+00   -0.69406E+02    0.18351E-07    0.87806E-05    0.15655E-05
   453    0.18800E+04    0.15457E+02    0.00000E+00   -0.69972E+02    0.18290E-07    0.85848E-05    0.15606E-05
   454    0.18900E+04    0.15286E+02    0.00000E+00   -0.70505E+02    0.18230E-07    0.83934E-05    0.15551E-05
   455    0.19000E+04    0.15114E+02    0.00000E+00   -0.71004E+02    0.18170E-07    0.82061E-05    0.15488E-05
   456    0.19103E+04    0.14941E+02    0.00000E+00   -0.71463E+02    0.18110E-07    0.80230E-05    0.15419E-05
   457    0.19205E+04    0.14767E+02    0.00000E+00   -0.71896E+02    0.18050E-07    0.78440E-05    0.15342E-05
   458    0.19309E+04    0.14593E+02    0.00000E+00   -0.72284E+02    0.17991E-07    0.76690E-05    0.15259E-05
   459    0.19413E+04    0.14418E+02    0.00000E+00   -0.72643E+02    0.17932E-07    0.74981E-05    0.15169E-05
   460    0.19519E+04    0.14242E+02    0.00000E+00   -0.72967E+02    0.17873E-07    0.73310E-05    0.15073E-05
   461    0.19624E+04    0.14066E+02    0.00000E+00   -0.73256E+02    0.17815E-07    0.71679E-05    0.14971E-05
   462    0.19730E+04    0.13889E+02    0.00000E+00   -0.73505E+02    0.17757E-07    0.70086E-05    0.14864E-05
   463    0.19836E+04    0.13713E+02    0.00000E+00   -0.73732E+02    0.17699E-07    0.68530E-05    0.14750E-05
   464    0.19943E+04    0.13537E+02    0.00000E+00   -0.73908E+02    0.17641E-07    0.67012E-05    0.14631E-05
   465    0.20049E+04    0.13360E+02    0.00000E+00   -0.74061E+02    0.17584E-07    0.65531E-05    0.14507E-05
   466    0.20156E+04    0.13183E+02    0.00000E+00   -0.74171E+02    0.17527E-07    0.64086E-05    0.14378E-05
   467    0.20264E+04    0.13006E+02    0.00000E+00   -0.74251E+02    0.17470E-07    0.62677E-05    0.14244E-05
   468    0.20371E+04    0.12831E+02    0.00000E+00   -0.74294E+02    0.17413E-07    0.61302E-05    0.14105E-05
   469    0.20479E+04    0.12654E+02    0.00000E+00   -0.74308E+02    0.17357E-07    0.59963E-05    0.13961E-05
   470    0.20587E+04    0.12478E+02    0.00000E+00   -0.74285E+02    0.17300E-07    0.58658E-05    0.13813E-05
   471    0.20693E+04    0.12304E+02    0.00000E+00   -0.74225E+02    0.17244E-07    0.57386E-05    0.13662E-05
   472    0.20800E+04    0.12130E+02    0.00000E+00   -0.74136E+02    0.17189E-07    0.56147E-05    0.13506E-05
   473    0.20907E+04    0.11957E+02    0.00000E+00   -0.74010E+02    0.17133E-07    0.54941E-05    0.13346E-05
   474    0.21014E+04    0.11785E+02    0.00000E+00   -0.73854E+02    0.17078E-07    0.53767E-05    0.13183E-05
   475    0.21121E+04    0.11613E+02    0.00000E+00   -0.73662E+02    0.17023E-07    0.52624E-05    0.13017E-05
   476    0.21226E+04    0.11443E+02    0.00000E+00   -0.73435E+02    0.16968E-07    0.51513E-05    0.12847E-05
   477    0.21331E+04    0.11273E+02    0.00000E+00   -0.73182E+02    0.16914E-07    0.50432E-05    0.12674E-05
   478    0.21436E+04    0.11104E+02    0.00000E+00   -0.72886E+02    0.16860E-07    0.49380E-05    0.12499E-05
   479    0.21540E+04    0.10938E+02    0.00000E+00   -0.72571E+02    0.16806E-07    0.48359E-05    0.12321E-05
   480    0.21643E+04    0.10772E+02    0.00000E+00   -0.72217E+02    0.16752E-07    0.47366E-05    0.12141E-05
   481    0.21746E+04    0.10609E+02    0.00000E+00   -0.71828E+02    0.16698E-07    0.46401E-05    0.11958E-05
   482    0.21849E+04    0.10447E+02    0.00000E+00   -0.71411E+02    0.16645E-07    0.45464E-05    0.11773E-05
   483    0.21950E+04    0.10286E+02    0.00000E+00   -0.70966E+02    0.16592E-07    0.44555E-05    0.11587E-05
   484    0.22049E+04    0.10128E+02    0.00000E+00   -0.70489E+02    0.16539E-07    0.43672E-05    0.11399E-05
   485    0.22149E+04    0.99707E+01    0.00000E+00   -0.69981E+02    0.16487E-07    0.42815E-05    0.11209E-05
   486    0.22248E+04    0.98164E+01    0.00000E+00   -0.69444E+02    0.16434E-07    0.41985E-05    0.11018E-05
   487    0.22345E+04    0.96643E+01    0.00000E+00   -0.68877E+02    0.16382E-07    0.41179E-05    0.10826E-05
   488    0.22441E+04    0.95135E+01    0.00000E+00   -0.68281E+02    0.16330E-07    0.40398E-05    0.10634E-05
   489    0.22536E+04    0.93655E+01    0.00000E+00   -0.67657E+02    0.16278E-07    0.39641E-05    0.10440E-05
   490    0.22631E+04    0.92203E+01    0.00000E+00   -0.67003E+02    0.16227E-07    0.38908E-05    0.10246E-05
   491    0.22722E+04    0.90773E+01    0.00000E+00   -0.66324E+02    0.16176E-07    0.38198E-05    0.10052E-05
   492    0.22814E+04    0.89370E+01    0.00000E+00   -0.65617E+02    0.16125E-07    0.37510E-05    0.98579E-06
   493    0.22904E+04    0.87980E+01    0.00000E+00   -0.64882E+02    0.16074E-07    0.36845E-05    0.96637E-06
   494    0.22993E+04    0.86634E+01    0.00000E+00   -0.64122E+02    0.16023E-07    0.36201E-05    0.94698E-06
   495    0.23079E+04    0.85308E+01    0.00000E+00   -0.63336E+02    0.15973E-07    0.35578E-05    0.92763E-06
   496    0.23165E+04    0.84018E+01    0.00000E+00   -0.62526E+02    0.15923E-07    0.34976E-05    0.90836E-06
   497    0.23248E+04    0.82756E+01    0.00000E+00   -0.61689E+02    0.15873E-07    0.34393E-05    0.88917E-06
   498    0.23331E+04    0.81514E+01    0.00000E+00   -0.60831E+02    0.15823E-07    0.33830E-05    0.87008E-06
   499    0.23413E+04    0.80315E+01    0.00000E+00   -0.59946E+02    0.15774E-07    0.33286E-05    0.85112E-06
   500    0.23492E+04    0.79137E+01    0.00000E+00   -0.59041E+02    0.15724E-07    0.32760E-05    0.83230E-06
   501    0.23569E+04    0.78001E+01    0.00000E+00   -0.58112E+02    0.15675E-07    0.32252E-05    0.81364E-06
   502    0.23645E+04    0.76901E+01    0.00000E+00   -0.57162E+02    0.15626E-07    0.31761E-05    0.79515E-06
   503    0.23719E+04    0.75828E+01    0.00000E+00   -0.56190E+02    0.15577E-07    0.31288E-05    0.77680E-06
   504    0.23791E+04    0.74792E+01    0.00000E+00   -0.55197E+02    0.15529E-07    0.30833E-05    0.75862E-06
   505    0.23862E+04    0.73797E+01    0.00000E+00   -0.54185E+02    0.15481E-07    0.30394E-05    0.74058E-06
   506    0.23930E+04    0.72840E+01    0.00000E+00   -0.53153E+02    0.15433E-07    0.29973E-05    0.72269E-06
   507    0.23998E+04    0.71917E+01    0.00000E+00   -0.52103E+02    0.15385E-07    0.29568E-05    0.70494E-06
   508    0.24062E+04    0.71038E+01    0.00000E+00   -0.51034E+02    0.15337E-07    0.29180E-05    0.68733E-06
   509    0.24125E+04    0.70194E+01    0.00000E+00   -0.49948E+02    0.15290E-07    0.28809E-05    0.66987E-06
   510    0.24185E+04    0.69391E+01    0.00000E+00   -0.48846E+02    0.15242E-07    0.28454E-05    0.65253E-06
   511    0.24245E+04    0.68626E+01    0.00000E+00   -0.47727E+02    0.15195E-07    0.28115E-05    0.63533E-06
   512    0.24301E+04    0.67905E+01    0.00000E+00   -0.46592E+02    0.15148E-07    0.27792E-05    0.61826E-06
   513    0.24356E+04    0.67224E+01    0.00000E+00   -0.45443E+02    0.15102E-07    0.27484E-05    0.60132E-06
   514    0.24409E+04    0.66586E+01    0.00000E+00   -0.44281E+02    0.15055E-07    0.27193E-05    0.58450E-06
   515    0.24460E+04    0.65992E+01    0.00000E+00   -0.43104E+02    0.15009E-07    0.26916E-05    0.56779E-06
   516    0.24508E+04    0.65441E+01    0.00000E+00   -0.41915E+02    0.14963E-07    0.26655E-05    0.55121E-06
   517    0.24554E+04    0.64936E+01    0.00000E+00   -0.40714E+02    0.14917E-07    0.26410E-05    0.53474E-06
   518    0.24598E+04    0.64474E+01    0.00000E+00   -0.39502E+02    0.14871E-07    0.26179E-05    0.51837E-06
   519    0.24641E+04    0.64058E+01    0.00000E+00   -0.38278E+02    0.14826E-07    0.25963E-05    0.50212E-06
   520    0.24680E+04    0.63687E+01    0.00000E+00   -0.37046E+02    0.14780E-07    0.25761E-05    0.48597E-06
   521    0.24717E+04    0.63363E+01    0.00000E+00   -0.35804E+02    0.14735E-07    0.25574E-05    0.46992E-06
   522    0.24752E+04    0.63086E+01    0.00000E+00   -0.34553E+02    0.14690E-07    0.25401E-05    0.45397E-06
   523    0.24785E+04    0.62856E+01    0.00000E+00   -0.33296E+02    0.14646E-07    0.25243E-05    0.43812E-06
   524    0.24816E+04    0.62673E+01    0.00000E+00   -0.32031E+02    0.14601E-07    0.25098E-05    0.42235E-06
   525    0.24843E+04    0.62538E+01    0.00000E+00   -0.30759E+02    0.14557E-07    0.24967E-05    0.40668E-06
   526    0.24869E+04    0.62452E+01    0.00000E+00   -0.29481E+02    0.14513E-07    0.24849E-05    0.39109E-06
   527    0.24895E+04    0.62413E+01    0.00000E+00   -0.28199E+02    0.14469E-07    0.24745E-05    0.37559E-06
   528    0.24916E+04    0.62423E+01    0.00000E+00   -0.26914E+02    0.14425E-07    0.24655E-05    0.36016E-06
   529    0.24935E+04    0.62484E+01    0.00000E+00   -0.25624E+02    0.14381E-07    0.24577E-05    0.34481E-06
   530    0.24952E+04    0.62595E+01    0.00000E+00   -0.24334E+02    0.14338E-07    0.24512E-05    0.32954E-06
   531    0.24968E+04    0.62753E+01    0.00000E+00   -0.23039E+02    0.14295E-07    0.24460E-05    0.31434E-06
   532    0.24980E+04    0.62963E+01    0.00000E+00   -0.21745E+02    0.14251E-07    0.24421E-05    0.29920E-06
   533    0.24990E+04    0.63222E+01    0.00000E+00   -0.20450E+02    0.14209E-07    0.24394E-05    0.28413E-06
   534    0.24997E+04    0.63532E+01    0.00000E+00   -0.19156E+02    0.14166E-07    0.24379E-05    0.26912E-06
   535    0.25003E+04    0.63894E+01    0.00000E+00   -0.17863E+02    0.14123E-07    0.24376E-05    0.25417E-06
   536    0.25006E+04    0.64305E+01    0.00000E+00   -0.16571E+02    0.14081E-07    0.24385E-05    0.23927E-06
   537    0.25007E+04    0.64767E+01    0.00000E+00   -0.15282E+02    0.14039E-07    0.24406E-05    0.22442E-06
   538    0.25005E+04    0.65281E+01    0.00000E+00   -0.13996E+02    0.13997E-07    0.24438E-05    0.20963E-06
   539    0.25002E+04    0.65844E+01    0.00000E+00   -0.12714E+02    0.13955E-07    0.24482E-05    0.19488E-06
   540    0.24996E+04    0.66460E+01    0.00000E+00   -0.11438E+02    0.13913E-07    0.24537E-05    0.18017E-06
   541    0.24988E+04    0.67126E+01    0.00000E+00   -0.10166E+02    0.13872E-07    0.24603E-05    0.16551E-06
   542    0.24977E+04    0.67843E+01    0.00000E+00   -0.89009E+01    0.13831E-07    0.24680E-05    0.15088E-06
   543    0.24964E+04    0.68612E+01    0.00000E+00   -0.76427E+01    0.13790E-07    0.24767E-05    0.13628E-06
   544    0.24950E+04    0.69432E+01    0.00000E+00   -0.63920E+01    0.13749E-07    0.24866E-05    0.12172E-06
   545    0.24932E+04    0.70303E+01    0.00000E+00   -0.51494E+01    0.13708E-07    0.24974E-05    0.10718E-06
   546    0.24913E+04    0.71222E+01    0.00000E+00   -0.39160E+01    0.13667E-07    0.25093E-05    0.92671E-07
   547    0.24891E+04    0.72192E+01    0.00000E+00   -0.26920E+01    0.13627E-07    0.25221E-05    0.78180E-07
   548    0.24868E+04    0.73212E+01    0.00000E+00   -0.14784E+01    0.13587E-07    0.25360E-05    0.63708E-07
   549    0.24842E+04    0.74283E+01    0.00000E+00   -0.27597E+00    0.13547E-07    0.25508E-05    0.49252E-07
   550    0.24814E+04    0.75405E+01    0.00000E+00    0.91480E+00    0.13507E-07    0.25666E-05    0.34807E-07
   551    0.24785E+04    0.76578E+01    0.00000E+00    0.20933E+01    0.13467E-07    0.25833E-05    0.20373E-07
   552    0.24753E+04    0.77801E+01    0.00000E+00    0.32584E+01    0.13427E-07    0.26009E-05    0.59506E-08
   553    0.24719E+04    0.79060E+01    0.00000E+00    0.44099E+01    0.13388E-07    0.26194E-05   -0.84586E-08
   554    0.24683E+04    0.80386E+01    0.00000E+00    0.55470E+01    0.13349E-07    0.26389E-05   -0.22852E-07
   555    0.24645E+04    0.81754E+01    0.00000E+00    0.66689E+01    0.13310E-07    0.26592E-05   -0.37228E-07
   556    0.24604E+04    0.83174E+01    0.00000E+00    0.77753E+01    0.13271E-07    0.26804E-05   -0.51585E-07
   557    0.24562E+04    0.84637E+01    0.00000E+00    0.88646E+01    0.13232E-07    0.27025E-05   -0.65920E-07
   558    0.24518E+04    0.86158E+01    0.00000E+00    0.99372E+01    0.13193E-07    0.27255E-05   -0.80231E-07
   559    0.24471E+04    0.87716E+01    0.00000E+00    0.10993E+02    0.13155E-07    0.27493E-05   -0.94516E-07
   560    0.24424E+04    0.89318E+01    0.00000E+00    0.12029E+02    0.13117E-07    0.27739E-05   -0.10877E-06
   561    0.24373E+04    0.90970E+01    0.00000E+00    0.13046E+02    0.13079E-07    0.27994E-05   -0.12300E-06
   562    0.24322E+04    0.92674E+01    0.00000E+00    0.14044E+02    0.13041E-07    0.28257E-05   -0.13720E-06
   563    0.24269E+04    0.94415E+01    0.00000E+00    0.15024E+02    0.13003E-07    0.28527E-05   -0.15136E-06
   564    0.24214E+04    0.96214E+01    0.00000E+00    0.15981E+02    0.12965E-07    0.28806E-05   -0.16548E-06
   565    0.24157E+04    0.98042E+01    0.00000E+00    0.16917E+02    0.12928E-07    0.29093E-05   -0.17957E-06
   566    0.24099E+04    0.99922E+01    0.00000E+00    0.17832E+02    0.12890E-07    0.29387E-05   -0.19361E-06
   567    0.24039E+04    0.10184E+02    0.00000E+00    0.18724E+02    0.12853E-07    0.29689E-05   -0.20762E-06
   568    0.23977E+04    0.10381E+02    0.00000E+00    0.19593E+02    0.12816E-07    0.29999E-05   -0.22158E-06
   569    0.23914E+04    0.10582E+02    0.00000E+00    0.20440E+02    0.12779E-07    0.30316E-05   -0.23549E-06
   570    0.23849E+04    0.10787E+02    0.00000E+00    0.21262E+02    0.12743E-07    0.30640E-05   -0.24935E-06
   571    0.23782E+04    0.10996E+02    0.00000E+00    0.22059E+02    0.12706E-07    0.30972E-05   -0.26317E-06
   572    0.23714E+04    0.11209E+02    0.00000E+00    0.22832E+02    0.12670E-07    0.31311E-05   -0.27693E-06
   573    0.23645E+04    0.11425E+02    0.00000E+00    0.23579E+02    0.12633E-07    0.31656E-05   -0.29064E-06
   574    0.23574E+04    0.11646E+02    0.00000E+00    0.24300E+02    0.12597E-07    0.32009E-05   -0.30428E-06
   575    0.23502E+04    0.11871E+02    0.00000E+00    0.24995E+02    0.12561E-07    0.32368E-05   -0.31787E-06
   576    0.23429E+04    0.12099E+02    0.00000E+00    0.25664E+02    0.12526E-07    0.32734E-05   -0.33140E-06
   577    0.23354E+04    0.12331E+02    0.00000E+00    0.26305E+02    0.12490E-07    0.33107E-05   -0.34487E-06
   578    0.23278E+04    0.12566E+02    0.00000E+00    0.26919E+02    0.12454E-07    0.33486E-05   -0.35827E-06
   579    0.23202E+04    0.12806E+02    0.00000E+00    0.27505E+02    0.12419E-07    0.33871E-05   -0.37160E-06
   580    0.23124E+04    0.13048E+02    0.00000E+00    0.28063E+02    0.12384E-07    0.34263E-05   -0.38487E-06
   581    0.23044E+04    0.13294E+02    0.00000E+00    0.28592E+02    0.12349E-07    0.34661E-05   -0.39806E-06
   582    0.22963E+04    0.13543E+02    0.00000E+00    0.29093E+02    0.12314E-07    0.35065E-05   -0.41118E-06
   583    0.22882E+04    0.13796E+02    0.00000E+00    0.29563E+02    0.12279E-07    0.35475E-05   -0.42423E-06
   584    0.22800E+04    0.14051E+02    0.00000E+00    0.30004E+02    0.12244E-07    0.35890E-05   -0.43719E-06
   585    0.22717E+04    0.14309E+02    0.00000E+00    0.30416E+02    0.12210E-07    0.36312E-05   -0.45008E-06
   586    0.22632E+04    0.14570E+02    0.00000E+00    0.30797E+02    0.12176E-07    0.36739E-05   -0.46289E-06
   587    0.22548E+04    0.14834E+02    0.00000E+00    0.31147E+02    0.12141E-07    0.37171E-05   -0.47561E-06
   588    0.22462E+04    0.15100E+02    0.00000E+00    0.31466E+02    0.12107E-07    0.37609E-05   -0.48824E-06
   589    0.22375E+04    0.15370E+02    0.00000E+00    0.31755E+02    0.12073E-07    0.38052E-05   -0.50079E-06
   590    0.22287E+04    0.15641E+02    0.00000E+00    0.32013E+02    0.12040E-07    0.38501E-05   -0.51325E-06
   591    0.22200E+04    0.15916E+02    0.00000E+00    0.32239E+02    0.12006E-07    0.38954E-05   -0.52562E-06
   592    0.22111E+04    0.16191E+02    0.00000E+00    0.32432E+02    0.11973E-07    0.39413E-05   -0.53789E-06
   593    0.22022E+04    0.16471E+02    0.00000E+00    0.32596E+02    0.11939E-07    0.39876E-05   -0.55006E-06
   594    0.21931E+04    0.16752E+02    0.00000E+00    0.32726E+02    0.11906E-07    0.40344E-05   -0.56214E-06
   595    0.21840E+04    0.17034E+02    0.00000E+00    0.32824E+02    0.11873E-07    0.40817E-05   -0.57412E-06
   596    0.21750E+04    0.17319E+02    0.00000E+00    0.32890E+02    0.11840E-07    0.41295E-05   -0.58599E-06
   597    0.21659E+04    0.17604E+02    0.00000E+00    0.32924E+02    0.11807E-07    0.41777E-05   -0.59776E-06
   598    0.21569E+04    0.17892E+02    0.00000E+00    0.32925E+02    0.11774E-07    0.42263E-05   -0.60943E-06
   599    0.21478E+04    0.18181E+02    0.00000E+00    0.32894E+02    0.11742E-07    0.42753E-05   -0.62098E-06
   600    0.21386E+04    0.18473E+02    0.00000E+00    0.32830E+02    0.11709E-07    0.43248E-05   -0.63243E-06
   601    0.21294E+04    0.18765E+02    0.00000E+00    0.32734E+02    0.11677E-07    0.43746E-05   -0.64376E-06
   602    0.21201E+04    0.19058E+02    0.00000E+00    0.32604E+02    0.11645E-07    0.44249E-05   -0.65498E-06
   603    0.21108E+04    0.19353E+02    0.00000E+00    0.32442E+02    0.11613E-07    0.44755E-05   -0.66608E-06
   604    0.21017E+04    0.19648E+02    0.00000E+00    0.32248E+02    0.11581E-07    0.45265E-05   -0.67707E-06
   605    0.20924E+04    0.19944E+02    0.00000E+00    0.32021E+02    0.11549E-07    0.45778E-05   -0.68795E-06
   606    0.20833E+04    0.20241E+02    0.00000E+00    0.31761E+02    0.11518E-07    0.46295E-05   -0.69871E-06
   607    0.20739E+04    0.20539E+02    0.00000E+00    0.31468E+02    0.11486E-07    0.46816E-05   -0.70935E-06
   608    0.20647E+04    0.20838E+02    0.00000E+00    0.31142E+02    0.11455E-07    0.47339E-05   -0.71988E-06
   609    0.20556E+04    0.21136E+02    0.00000E+00    0.30784E+02    0.11424E-07    0.47866E-05   -0.73029E-06
   610    0.20464E+04    0.21434E+02    0.00000E+00    0.30393E+02    0.11392E-07    0.48396E-05   -0.74058E-06
   611    0.20372E+04    0.21733E+02    0.00000E+00    0.29969E+02    0.11361E-07    0.48929E-05   -0.75075E-06
   612    0.20281E+04    0.22033E+02    0.00000E+00    0.29514E+02    0.11331E-07    0.49464E-05   -0.76081E-06
   613    0.20190E+04    0.22330E+02    0.00000E+00    0.29026E+02    0.11300E-07    0.50002E-05   -0.77074E-06
   614    0.20100E+04    0.22629E+02    0.00000E+00    0.28505E+02    0.11269E-07    0.50543E-05   -0.78056E-06
   615    0.20010E+04    0.22926E+02    0.00000E+00    0.27953E+02    0.11239E-07    0.51086E-05   -0.79025E-06
   616    0.19920E+04    0.23225E+02    0.00000E+00    0.27369E+02    0.11208E-07    0.51631E-05   -0.79982E-06
   617    0.19832E+04    0.23522E+02    0.00000E+00    0.26754E+02    0.11178E-07    0.52179E-05   -0.80927E-06
   618    0.19744E+04    0.23819E+02    0.00000E+00    0.26106E+02    0.11148E-07    0.52729E-05   -0.81859E-06
   619    0.19656E+04    0.24117E+02    0.00000E+00    0.25429E+02    0.11118E-07    0.53281E-05   -0.82780E-06
   620    0.19570E+04    0.24411E+02    0.00000E+00    0.24720E+02    0.11088E-07    0.53835E-05   -0.83688E-06
   621    0.19483E+04    0.24706E+02    0.00000E+00    0.23981E+02    0.11058E-07    0.54390E-05   -0.84583E-06
   622    0.19397E+04    0.24999E+02    0.00000E+00    0.23210E+02    0.11029E-07    0.54947E-05   -0.85466E-06
   623    0.19313E+04    0.25290E+02    0.00000E+00    0.22411E+02    0.10999E-07    0.55506E-05   -0.86336E-06
   624    0.19229E+04    0.25580E+02    0.00000E+00    0.21581E+02    0.10970E-07    0.56066E-05   -0.87194E-06
   625    0.19145E+04    0.25869E+02    0.00000E+00    0.20721E+02    0.10940E-07    0.56628E-05   -0.88039E-06
   626    0.19063E+04    0.26156E+02    0.00000E+00    0.19832E+02    0.10911E-07    0.57191E-05   -0.88871E-06
   627    0.18983E+04    0.26441E+02    0.00000E+00    0.18914E+02    0.10882E-07    0.57754E-05   -0.89691E-06
   628    0.18902E+04    0.26725E+02    0.00000E+00    0.17968E+02    0.10853E-07    0.58319E-05   -0.90498E-06
   629    0.18824E+04    0.27006E+02    0.00000E+00    0.16993E+02    0.10824E-07    0.58885E-05   -0.91291E-06
   630    0.18745E+04    0.27285E+02    0.00000E+00    0.15989E+02    0.10796E-07    0.59452E-05   -0.92072E-06
   631    0.18668E+04    0.27562E+02    0.00000E+00    0.14959E+02    0.10767E-07    0.60019E-05   -0.92840E-06
   632    0.18593E+04    0.27836E+02    0.00000E+00    0.13901E+02    0.10739E-07    0.60586E-05   -0.93594E-06
   633    0.18518E+04    0.28109E+02    0.00000E+00    0.12817E+02    0.10710E-07    0.61155E-05   -0.94336E-06
   634    0.18445E+04    0.28378E+02    0.00000E+00    0.11706E+02    0.10682E-07    0.61723E-05   -0.95064E-06
   635    0.18373E+04    0.28646E+02    0.00000E+00    0.10570E+02    0.10654E-07    0.62292E-05   -0.95779E-06
   636    0.18301E+04    0.28911E+02    0.00000E+00    0.94089E+01    0.10626E-07    0.62861E-05   -0.96480E-06
   637    0.18232E+04    0.29172E+02    0.00000E+00    0.82220E+01    0.10598E-07    0.63429E-05   -0.97168E-06
   638    0.18163E+04    0.29431E+02    0.00000E+00    0.70113E+01    0.10570E-07    0.63998E-05   -0.97843E-06
   639    0.18097E+04    0.29686E+02    0.00000E+00    0.57761E+01    0.10542E-07    0.64566E-05   -0.98504E-06
   640    0.18031E+04    0.29940E+02    0.00000E+00    0.45178E+01    0.10515E-07    0.65135E-05   -0.99152E-06
   641    0.17967E+04    0.30189E+02    0.00000E+00    0.32364E+01    0.10487E-07    0.65702E-05   -0.99786E-06
   642    0.17904E+04    0.30435E+02    0.00000E+00    0.19326E+01    0.10460E-07    0.66269E-05   -0.10041E-05
   643    0.17843E+04    0.30678E+02    0.00000E+00    0.60687E+00    0.10433E-07    0.66836E-05   -0.10101E-05
   644    0.17784E+04    0.30916E+02    0.00000E+00   -0.74010E+00    0.10405E-07    0.67401E-05   -0.10161E-05
   645    0.17726E+04    0.31151E+02    0.00000E+00   -0.21081E+01    0.10378E-07    0.67966E-05   -0.10218E-05
   646    0.17669E+04    0.31382E+02    0.00000E+00   -0.34964E+01    0.10351E-07    0.68530E-05   -0.10275E-05
   647    0.17615E+04    0.31610E+02    0.00000E+00   -0.49050E+01    0.10325E-07    0.69092E-05   -0.10330E-05
   648    0.17561E+04    0.31833E+02    0.00000E+00   -0.63320E+01    0.10298E-07    0.69653E-05   -0.10384E-05
   649    0.17510E+04    0.32052E+02    0.00000E+00   -0.77780E+01    0.10271E-07    0.70213E-05   -0.10436E-05
   650    0.17460E+04    0.32267E+02    0.00000E+00   -0.92417E+01    0.10245E-07    0.70772E-05   -0.10487E-05
   651    0.17412E+04    0.32479E+02    0.00000E+00   -0.10723E+02    0.10218E-07    0.71329E-05   -0.10536E-05
   652    0.17365E+04    0.32686E+02    0.00000E+00   -0.12221E+02    0.10192E-07    0.71884E-05   -0.10584E-05
   653    0.17321E+04    0.32888E+02    0.00000E+00   -0.13735E+02    0.10166E-07    0.72437E-05   -0.10631E-05
   654    0.17277E+04    0.33086E+02    0.00000E+00   -0.15264E+02    0.10140E-07    0.72989E-05   -0.10676E-05
   655    0.17235E+04    0.33280E+02    0.00000E+00   -0.16808E+02    0.10114E-07    0.73539E-05   -0.10720E-05
   656    0.17196E+04    0.33468E+02    0.00000E+00   -0.18366E+02    0.10088E-07    0.74086E-05   -0.10762E-05
   657    0.17159E+04    0.33652E+02    0.00000E+00   -0.19937E+02    0.10062E-07    0.74632E-05   -0.10803E-05
   658    0.17122E+04    0.33832E+02    0.00000E+00   -0.21522E+02    0.10036E-07    0.75176E-05   -0.10843E-05
   659    0.17088E+04    0.34007E+02    0.00000E+00   -0.23118E+02    0.10011E-07    0.75717E-05   -0.10881E-05
   660    0.17057E+04    0.34176E+02    0.00000E+00   -0.24725E+02    0.99851E-08    0.76256E-05   -0.10918E-05
   661    0.17026E+04    0.34340E+02    0.00000E+00   -0.26343E+02    0.99597E-08    0.76793E-05   -0.10953E-05
   662    0.16998E+04    0.34500E+02    0.00000E+00   -0.27971E+02    0.99344E-08    0.77327E-05   -0.10987E-05
   663    0.16971E+04    0.34655E+02    0.00000E+00   -0.29609E+02    0.99091E-08    0.77859E-05   -0.11020E-05
   664    0.16946E+04    0.34803E+02    0.00000E+00   -0.31255E+02    0.98840E-08    0.78388E-05   -0.11051E-05
   665    0.16923E+04    0.34947E+02    0.00000E+00   -0.32910E+02    0.98590E-08    0.78914E-05   -0.11081E-05
   666    0.16902E+04    0.35086E+02    0.00000E+00   -0.34571E+02    0.98341E-08    0.79437E-05   -0.11110E-05
   667    0.16883E+04    0.35219E+02    0.00000E+00   -0.36239E+02    0.98092E-08    0.79958E-05   -0.11137E-05
   668    0.16865E+04    0.35347E+02    0.00000E+00   -0.37913E+02    0.97845E-08    0.80476E-05   -0.11163E-05
   669    0.16851E+04    0.35469E+02    0.00000E+00   -0.39592E+02    0.97598E-08    0.80991E-05   -0.11187E-05
   670    0.16837E+04    0.35585E+02    0.00000E+00   -0.41274E+02    0.97353E-08    0.81502E-05   -0.11211E-05
