#    L    TT             EE             TE             PP             TP          
   715    0.18127E+04    0.34816E+02   -0.11005E+03    0.40590E+06    0.17095E+03
   716    0.18192E+04    0.34669E+02   -0.11119E+03    0.40494E+06    0.17145E+03
   717    0.18258E+04    0.34517E+02   -0.11229E+03    0.40398E+06    0.17193E+03
   718    0.18324E+04    0.34360E+02   -0.11338E+03    0.40303E+06    0.17240E+03
   719    0.18393E+04    0.34197E+02   -0.11442E+03    0.40208E+06    0.17286E+03
   720    0.18461E+04    0.34030E+02   -0.11545E+03    0.40113E+06    0.17332E+03
   721    0.18532E+04    0.33859E+02   -0.11644E+03    0.40019E+06    0.17376E+03
   722    0.18603E+04    0.33682E+02   -0.11741E+03    0.39924E+06    0.17419E+03
   723    0.18675E+04    0.33502E+02   -0.11835E+03    0.39831E+06    0.17461E+03
   724    0.18748E+04    0.33316E+02   -0.11926E+03    0.39737E+06    0.17502E+03
   725    0.18821E+04    0.33127E+02   -0.12014E+03    0.39644E+06    0.17542E+03
   726    0.18897E+04    0.32935E+02   -0.12098E+03    0.39551E+06    0.17581E+03
   727    0.18972E+04    0.32737E+02   -0.12180E+03    0.39459E+06    0.17619E+03
   728    0.19048E+04    0.32534E+02   -0.12258E+03    0.39367E+06    0.17655E+03
   729    0.19125E+04    0.32327E+02   -0.12334E+03    0.39275E+06    0.17691E+03
   730    0.19202E+04    0.32117E+02   -0.12406E+03    0.39183E+06    0.17725E+03
   731    0.19281E+04    0.31902E+02   -0.12475E+03    0.39092E+06    0.17759E+03
   732    0.19360E+04    0.31686E+02   -0.12540E+03    0.39001E+06    0.17791E+03
   733    0.19440E+04    0.31464E+02   -0.12603E+03    0.38911E+06    0.17823E+03
   734    0.19520E+04    0.31239E+02   -0.12661E+03    0.38821E+06    0.17853E+03
   735    0.19602E+04    0.31010E+02   -0.12718E+03    0.38731E+06    0.17882E+03
   736    0.19682E+04    0.30778E+02   -0.12769E+03    0.38641E+06    0.17910E+03
   737    0.19764E+04    0.30543E+02   -0.12819E+03    0.38552E+06    0.17937E+03
   738    0.19845E+04    0.30306E+02   -0.12863E+03    0.38463E+06    0.17962E+03
   739    0.19927E+04    0.30064E+02   -0.12905E+03    0.38374E+06    0.17987E+03
   740    0.20010E+04    0.29820E+02   -0.12944E+03    0.38286E+06    0.18010E+03
   741    0.20093E+04    0.29572E+02   -0.12979E+03    0.38198E+06    0.18033E+03
   742    0.20176E+04    0.29324E+02   -0.13010E+03    0.38110E+06    0.18054E+03
   743    0.20259E+04    0.29073E+02   -0.13038E+03    0.38023E+06    0.18074E+03
   744    0.20343E+04    0.28819E+02   -0.13062E+03    0.37936E+06    0.18093E+03
   745    0.20427E+04    0.28563E+02   -0.13083E+03    0.37849E+06    0.18111E+03
   746    0.20509E+04    0.28305E+02   -0.13099E+03    0.37762E+06    0.18127E+03
   747    0.20592E+04    0.28043E+02   -0.13113E+03    0.37676E+06    0.18143E+03
   748    0.20676E+04    0.27781E+02   -0.13123E+03    0.37590E+06    0.18157E+03
   749    0.20760E+04    0.27515E+02   -0.13131E+03    0.37504E+06    0.18170E+03
   750    0.20843E+04    0.27250E+02   -0.13134E+03    0.37419E+06    0.18182E+03
   751    0.20926E+04    0.26981E+02   -0.13134E+03    0.37334E+06    0.18193E+03
   752    0.21010E+04    0.26713E+02   -0.13129E+03    0.37249E+06    0.18202E+03
   753    0.21092E+04    0.26441E+02   -0.13121E+03    0.37165E+06    0.18211E+03
   754    0.21174E+04    0.26170E+02   -0.13109E+03    0.37080E+06    0.18218E+03
   755    0.21257E+04    0.25896E+02   -0.13095E+03    0.36996E+06    0.18224E+03
   756    0.21338E+04    0.25622E+02   -0.13076E+03    0.36913E+06    0.18229E+03
   757    0.21421E+04    0.25348E+02   -0.13054E+03    0.36829E+06    0.18233E+03
   758    0.21501E+04    0.25072E+02   -0.13027E+03    0.36746E+06    0.18236E+03
   759    0.21582E+04    0.24795E+02   -0.12998E+03    0.36663E+06    0.18237E+03
   760    0.21662E+04    0.24518E+02   -0.12966E+03    0.36581E+06    0.18238E+03
   761    0.21741E+04    0.24241E+02   -0.12929E+03    0.36498E+06    0.18237E+03
   762    0.21821E+04    0.23964E+02   -0.12889E+03    0.36416E+06    0.18235E+03
   763    0.21899E+04    0.23687E+02   -0.12846E+03    0.36335E+06    0.18232E+03
   764    0.21977E+04    0.23409E+02   -0.12799E+03    0.36253E+06    0.18228E+03
   765    0.22053E+04    0.23132E+02   -0.12749E+03    0.36172E+06    0.18223E+03
   766    0.22130E+04    0.22855E+02   -0.12695E+03    0.36091E+06    0.18217E+03
   767    0.22205E+04    0.22579E+02   -0.12638E+03    0.36010E+06    0.18210E+03
   768    0.22280E+04    0.22303E+02   -0.12576E+03    0.35930E+06    0.18201E+03
   769    0.22354E+04    0.22027E+02   -0.12512E+03    0.35850E+06    0.18192E+03
   770    0.22426E+04    0.21752E+02   -0.12445E+03    0.35770E+06    0.18182E+03
   771    0.22498E+04    0.21479E+02   -0.12373E+03    0.35690E+06    0.18170E+03
   772    0.22569E+04    0.21206E+02   -0.12298E+03    0.35611E+06    0.18158E+03
   773    0.22639E+04    0.20935E+02   -0.12220E+03    0.35532E+06    0.18144E+03
   774    0.22708E+04    0.20665E+02   -0.12140E+03    0.35453E+06    0.18130E+03
   775    0.22776E+04    0.20396E+02   -0.12055E+03    0.35375E+06    0.18114E+03
   776    0.22842E+04    0.20130E+02   -0.11968E+03    0.35296E+06    0.18097E+03
   777    0.22907E+04    0.19864E+02   -0.11877E+03    0.35218E+06    0.18080E+03
   778    0.22973E+04    0.19601E+02   -0.11783E+03    0.35140E+06    0.18061E+03
   779    0.23036E+04    0.19340E+02   -0.11686E+03    0.35063E+06    0.18041E+03
   780    0.23097E+04    0.19079E+02   -0.11586E+03    0.34985E+06    0.18021E+03
   781    0.23159E+04    0.18822E+02   -0.11483E+03    0.34908E+06    0.17999E+03
   782    0.23218E+04    0.18567E+02   -0.11379E+03    0.34832E+06    0.17976E+03
   783    0.23276E+04    0.18314E+02   -0.11269E+03    0.34755E+06    0.17953E+03
   784    0.23333E+04    0.18064E+02   -0.11157E+03    0.34679E+06    0.17928E+03
   785    0.23388E+04    0.17816E+02   -0.11043E+03    0.34603E+06    0.17903E+03
   786    0.23442E+04    0.17571E+02   -0.10923E+03    0.34527E+06    0.17876E+03
   787    0.23494E+04    0.17329E+02   -0.10802E+03    0.34451E+06    0.17849E+03
   788    0.23545E+04    0.17090E+02   -0.10679E+03    0.34376E+06    0.17821E+03
   789    0.23594E+04    0.16852E+02   -0.10554E+03    0.34301E+06    0.17791E+03
   790    0.23643E+04    0.16620E+02   -0.10425E+03    0.34226E+06    0.17761E+03
   791    0.23689E+04    0.16389E+02   -0.10293E+03    0.34151E+06    0.17730E+03
   792    0.23735E+04    0.16163E+02   -0.10159E+03    0.34077E+06    0.17698E+03
   793    0.23778E+04    0.15941E+02   -0.10022E+03    0.34003E+06    0.17665E+03
   794    0.23819E+04    0.15723E+02   -0.98827E+02    0.33929E+06    0.17631E+03
   795    0.23858E+04    0.15507E+02   -0.97409E+02    0.33855E+06    0.17596E+03
   796    0.23898E+04    0.15296E+02   -0.95975E+02    0.33781E+06    0.17561E+03
   797    0.23934E+04    0.15088E+02   -0.94512E+02    0.33708E+06    0.17524E+03
   798    0.23968E+04    0.14885E+02   -0.93034E+02    0.33635E+06    0.17487E+03
   799    0.24002E+04    0.14685E+02   -0.91532E+02    0.33562E+06    0.17448E+03
   800    0.24034E+04    0.14490E+02   -0.90009E+02    0.33490E+06    0.17409E+03
   801    0.24063E+04    0.14299E+02   -0.88470E+02    0.33418E+06    0.17369E+03
   802    0.24090E+04    0.14112E+02   -0.86893E+02    0.33345E+06    0.17328E+03
   803    0.24117E+04    0.13929E+02   -0.85316E+02    0.33274E+06    0.17287E+03
   804    0.24141E+04    0.13751E+02   -0.83709E+02    0.33202E+06    0.17244E+03
   805    0.24165E+04    0.13578E+02   -0.82086E+02    0.33130E+06    0.17201E+03
   806    0.24186E+04    0.13408E+02   -0.80448E+02    0.33059E+06    0.17157E+03
   807    0.24204E+04    0.13244E+02   -0.78795E+02    0.32988E+06    0.17112E+03
   808    0.24220E+04    0.13086E+02   -0.77119E+02    0.32917E+06    0.17066E+03
   809    0.24236E+04    0.12932E+02   -0.75434E+02    0.32847E+06    0.17020E+03
   810    0.24249E+04    0.12783E+02   -0.73727E+02    0.32776E+06    0.16972E+03
   811    0.24260E+04    0.12638E+02   -0.72005E+02    0.32706E+06    0.16924E+03
   812    0.24269E+04    0.12501E+02   -0.70273E+02    0.32636E+06    0.16875E+03
   813    0.24276E+04    0.12366E+02   -0.68529E+02    0.32567E+06    0.16826E+03
   814    0.24282E+04    0.12238E+02   -0.66772E+02    0.32497E+06    0.16776E+03
   815    0.24286E+04    0.12115E+02   -0.65004E+02    0.32428E+06    0.16725E+03
   816    0.24287E+04    0.11998E+02   -0.63225E+02    0.32359E+06    0.16673E+03
   817    0.24286E+04    0.11886E+02   -0.61435E+02    0.32290E+06    0.16621E+03
   818    0.24285E+04    0.11780E+02   -0.59636E+02    0.32221E+06    0.16568E+03
   819    0.24280E+04    0.11679E+02   -0.57827E+02    0.32153E+06    0.16514E+03
   820    0.24275E+04    0.11583E+02   -0.56010E+02    0.32085E+06    0.16460E+03
   821    0.24266E+04    0.11493E+02   -0.54186E+02    0.32017E+06    0.16405E+03
   822    0.24256E+04    0.11409E+02   -0.52355E+02    0.31949E+06    0.16349E+03
   823    0.24244E+04    0.11331E+02   -0.50516E+02    0.31881E+06    0.16293E+03
   824    0.24229E+04    0.11259E+02   -0.48672E+02    0.31814E+06    0.16236E+03
   825    0.24213E+04    0.11192E+02   -0.46823E+02    0.31746E+06    0.16178E+03
   826    0.24194E+04    0.11132E+02   -0.44970E+02    0.31679E+06    0.16120E+03
   827    0.24173E+04    0.11077E+02   -0.43114E+02    0.31613E+06    0.16061E+03
   828    0.24152E+04    0.11029E+02   -0.41255E+02    0.31546E+06    0.16002E+03
   829    0.24127E+04    0.10987E+02   -0.39394E+02    0.31479E+06    0.15942E+03
   830    0.24102E+04    0.10950E+02   -0.37533E+02    0.31413E+06    0.15881E+03
   831    0.24074E+04    0.10920E+02   -0.35671E+02    0.31347E+06    0.15820E+03
   832    0.24043E+04    0.10895E+02   -0.33809E+02    0.31281E+06    0.15759E+03
   833    0.24012E+04    0.10876E+02   -0.31948E+02    0.31216E+06    0.15697E+03
   834    0.23977E+04    0.10863E+02   -0.30088E+02    0.31150E+06    0.15634E+03
   835    0.23942E+04    0.10858E+02   -0.28231E+02    0.31085E+06    0.15571E+03
   836    0.23903E+04    0.10857E+02   -0.26375E+02    0.31020E+06    0.15507E+03
   837    0.23863E+04    0.10863E+02   -0.24524E+02    0.30955E+06    0.15443E+03
   838    0.23822E+04    0.10875E+02   -0.22677E+02    0.30890E+06    0.15379E+03
   839    0.23777E+04    0.10893E+02   -0.20833E+02    0.30826E+06    0.15314E+03
   840    0.23732E+04    0.10918E+02   -0.18995E+02    0.30762E+06    0.15248E+03
   841    0.23684E+04    0.10949E+02   -0.17165E+02    0.30698E+06    0.15182E+03
   842    0.23634E+04    0.10984E+02   -0.15339E+02    0.30634E+06    0.15116E+03
   843    0.23583E+04    0.11027E+02   -0.13523E+02    0.30570E+06    0.15049E+03
   844    0.23529E+04    0.11076E+02   -0.11715E+02    0.30506E+06    0.14982E+03
   845    0.23474E+04    0.11129E+02   -0.99152E+01    0.30443E+06    0.14914E+03
   846    0.23417E+04    0.11191E+02   -0.81259E+01    0.30380E+06    0.14846E+03
   847    0.23360E+04    0.11257E+02   -0.63464E+01    0.30317E+06    0.14777E+03
   848    0.23300E+04    0.11330E+02   -0.45784E+01    0.30254E+06    0.14709E+03
   849    0.23237E+04    0.11408E+02   -0.28215E+01    0.30191E+06    0.14639E+03
   850    0.23174E+04    0.11493E+02   -0.10766E+01    0.30129E+06    0.14570E+03
   851    0.23108E+04    0.11583E+02    0.65562E+00    0.30067E+06    0.14500E+03
   852    0.23041E+04    0.11680E+02    0.23748E+01    0.30004E+06    0.14430E+03
   853    0.22972E+04    0.11782E+02    0.40802E+01    0.29943E+06    0.14359E+03
   854    0.22901E+04    0.11890E+02    0.57704E+01    0.29881E+06    0.14288E+03
   855    0.22828E+04    0.12005E+02    0.74463E+01    0.29819E+06    0.14217E+03
   856    0.22754E+04    0.12123E+02    0.91062E+01    0.29758E+06    0.14145E+03
   857    0.22678E+04    0.12248E+02    0.10749E+02    0.29697E+06    0.14073E+03
   858    0.22601E+04    0.12381E+02    0.12375E+02    0.29636E+06    0.14001E+03
   859    0.22521E+04    0.12516E+02    0.13985E+02    0.29575E+06    0.13928E+03
   860    0.22442E+04    0.12658E+02    0.15576E+02    0.29514E+06    0.13856E+03
   861    0.22360E+04    0.12805E+02    0.17148E+02    0.29453E+06    0.13783E+03
   862    0.22276E+04    0.12958E+02    0.18701E+02    0.29393E+06    0.13709E+03
   863    0.22191E+04    0.13116E+02    0.20234E+02    0.29333E+06    0.13635E+03
   864    0.22104E+04    0.13279E+02    0.21747E+02    0.29273E+06    0.13561E+03
   865    0.22015E+04    0.13447E+02    0.23238E+02    0.29213E+06    0.13487E+03
   866    0.21928E+04    0.13621E+02    0.24707E+02    0.29153E+06    0.13412E+03
   867    0.21837E+04    0.13801E+02    0.26155E+02    0.29094E+06    0.13338E+03
   868    0.21745E+04    0.13985E+02    0.27580E+02    0.29035E+06    0.13263E+03
   869    0.21652E+04    0.14174E+02    0.28983E+02    0.28975E+06    0.13187E+03
   870    0.21557E+04    0.14367E+02    0.30361E+02    0.28916E+06    0.13112E+03
   871    0.21461E+04    0.14566E+02    0.31716E+02    0.28858E+06    0.13036E+03
   872    0.21364E+04    0.14769E+02    0.33047E+02    0.28799E+06    0.12960E+03
   873    0.21266E+04    0.14977E+02    0.34352E+02    0.28740E+06    0.12883E+03
   874    0.21167E+04    0.15191E+02    0.35632E+02    0.28682E+06    0.12807E+03
   875    0.21066E+04    0.15407E+02    0.36888E+02    0.28624E+06    0.12730E+03
   876    0.20964E+04    0.15629E+02    0.38117E+02    0.28566E+06    0.12653E+03
   877    0.20862E+04    0.15855E+02    0.39319E+02    0.28508E+06    0.12575E+03
   878    0.20757E+04    0.16084E+02    0.40495E+02    0.28450E+06    0.12498E+03
   879    0.20653E+04    0.16319E+02    0.41644E+02    0.28393E+06    0.12420E+03
   880    0.20547E+04    0.16557E+02    0.42766E+02    0.28335E+06    0.12342E+03
   881    0.20441E+04    0.16799E+02    0.43858E+02    0.28278E+06    0.12264E+03
   882    0.20333E+04    0.17044E+02    0.44923E+02    0.28221E+06    0.12186E+03
   883    0.20225E+04    0.17295E+02    0.45958E+02    0.28164E+06    0.12107E+03
   884    0.20115E+04    0.17547E+02    0.46965E+02    0.28107E+06    0.12028E+03
   885    0.20004E+04    0.17804E+02    0.47942E+02    0.28051E+06    0.11949E+03
   886    0.19894E+04    0.18065E+02    0.48890E+02    0.27994E+06    0.11870E+03
   887    0.19781E+04    0.18328E+02    0.49808E+02    0.27938E+06    0.11791E+03
   888    0.19670E+04    0.18596E+02    0.50695E+02    0.27882E+06    0.11712E+03
   889    0.19555E+04    0.18865E+02    0.51553E+02    0.27826E+06    0.11632E+03
   890    0.19441E+04    0.19138E+02    0.52378E+02    0.27770E+06    0.11552E+03
   891    0.19327E+04    0.19414E+02    0.53173E+02    0.27715E+06    0.11472E+03
   892    0.19212E+04    0.19692E+02    0.53938E+02    0.27659E+06    0.11392E+03
   893    0.19096E+04    0.19974E+02    0.54672E+02    0.27604E+06    0.11312E+03
   894    0.18980E+04    0.20258E+02    0.55373E+02    0.27548E+06    0.11232E+03
   895    0.18863E+04    0.20544E+02    0.56045E+02    0.27493E+06    0.11151E+03
   896    0.18746E+04    0.20833E+02    0.56684E+02    0.27439E+06    0.11070E+03
   897    0.18628E+04    0.21124E+02    0.57291E+02    0.27384E+06    0.10990E+03
   898    0.18510E+04    0.21417E+02    0.57867E+02    0.27329E+06    0.10909E+03
   899    0.18392E+04    0.21712E+02    0.58410E+02    0.27275E+06    0.10828E+03
   900    0.18273E+04    0.22009E+02    0.58922E+02    0.27220E+06    0.10747E+03
   901    0.18155E+04    0.22307E+02    0.59402E+02    0.27166E+06    0.10665E+03
   902    0.18035E+04    0.22607E+02    0.59849E+02    0.27112E+06    0.10584E+03
   903    0.17915E+04    0.22909E+02    0.60263E+02    0.27058E+06    0.10502E+03
   904    0.17796E+04    0.23212E+02    0.60645E+02    0.27005E+06    0.10421E+03
   905    0.17676E+04    0.23517E+02    0.60994E+02    0.26951E+06    0.10339E+03
   906    0.17556E+04    0.23822E+02    0.61310E+02    0.26898E+06    0.10258E+03
   907    0.17436E+04    0.24128E+02    0.61593E+02    0.26844E+06    0.10176E+03
   908    0.17317E+04    0.24435E+02    0.61845E+02    0.26791E+06    0.10094E+03
   909    0.17198E+04    0.24742E+02    0.62062E+02    0.26738E+06    0.10012E+03
   910    0.17077E+04    0.25052E+02    0.62248E+02    0.26685E+06    0.99304E+02
   911    0.16957E+04    0.25360E+02    0.62400E+02    0.26633E+06    0.98484E+02
   912    0.16837E+04    0.25670E+02    0.62520E+02    0.26580E+06    0.97665E+02
   913    0.16715E+04    0.25979E+02    0.62607E+02    0.26528E+06    0.96846E+02
   914    0.16597E+04    0.26289E+02    0.62662E+02    0.26475E+06    0.96026E+02
   915    0.16477E+04    0.26598E+02    0.62685E+02    0.26423E+06    0.95206E+02
   916    0.16358E+04    0.26907E+02    0.62674E+02    0.26371E+06    0.94387E+02
   917    0.16238E+04    0.27217E+02    0.62633E+02    0.26319E+06    0.93567E+02
   918    0.16120E+04    0.27526E+02    0.62558E+02    0.26267E+06    0.92748E+02
   919    0.16002E+04    0.27834E+02    0.62452E+02    0.26216E+06    0.91930E+02
   920    0.15884E+04    0.28142E+02    0.62313E+02    0.26164E+06    0.91111E+02
   921    0.15767E+04    0.28449E+02    0.62143E+02    0.26113E+06    0.90294E+02
   922    0.15649E+04    0.28755E+02    0.61941E+02    0.26062E+06    0.89476E+02
   923    0.15532E+04    0.29060E+02    0.61708E+02    0.26011E+06    0.88660E+02
   924    0.15416E+04    0.29364E+02    0.61443E+02    0.25960E+06    0.87844E+02
   925    0.15301E+04    0.29666E+02    0.61147E+02    0.25909E+06    0.87029E+02
   926    0.15185E+04    0.29968E+02    0.60821E+02    0.25858E+06    0.86215E+02
   927    0.15070E+04    0.30267E+02    0.60464E+02    0.25808E+06    0.85401E+02
   928    0.14957E+04    0.30566E+02    0.60077E+02    0.25758E+06    0.84589E+02
   929    0.14843E+04    0.30862E+02    0.59660E+02    0.25707E+06    0.83778E+02
   930    0.14731E+04    0.31156E+02    0.59213E+02    0.25657E+06    0.82969E+02
   931    0.14618E+04    0.31449E+02    0.58736E+02    0.25607E+06    0.82160E+02
   932    0.14507E+04    0.31739E+02    0.58231E+02    0.25557E+06    0.81353E+02
   933    0.14397E+04    0.32026E+02    0.57696E+02    0.25508E+06    0.80547E+02
   934    0.14287E+04    0.32313E+02    0.57135E+02    0.25458E+06    0.79743E+02
   935    0.14178E+04    0.32596E+02    0.56543E+02    0.25409E+06    0.78941E+02
   936    0.14070E+04    0.32876E+02    0.55924E+02    0.25359E+06    0.78140E+02
   937    0.13962E+04    0.33155E+02    0.55277E+02    0.25310E+06    0.77341E+02
   938    0.13856E+04    0.33431E+02    0.54603E+02    0.25261E+06    0.76544E+02
   939    0.13751E+04    0.33702E+02    0.53901E+02    0.25212E+06    0.75748E+02
   940    0.13646E+04    0.33972E+02    0.53174E+02    0.25163E+06    0.74955E+02
   941    0.13542E+04    0.34238E+02    0.52420E+02    0.25115E+06    0.74164E+02
   942    0.13439E+04    0.34501E+02    0.51640E+02    0.25066E+06    0.73375E+02
   943    0.13338E+04    0.34761E+02    0.50835E+02    0.25018E+06    0.72588E+02
   944    0.13238E+04    0.35017E+02    0.50004E+02    0.24969E+06    0.71804E+02
   945    0.13139E+04    0.35269E+02    0.49148E+02    0.24921E+06    0.71022E+02
   946    0.13041E+04    0.35518E+02    0.48269E+02    0.24873E+06    0.70243E+02
   947    0.12943E+04    0.35763E+02    0.47366E+02    0.24825E+06    0.69466E+02
   948    0.12846E+04    0.36005E+02    0.46440E+02    0.24777E+06    0.68691E+02
   949    0.12751E+04    0.36242E+02    0.45491E+02    0.24730E+06    0.67920E+02
   950    0.12657E+04    0.36476E+02    0.44519E+02    0.24682E+06    0.67151E+02
   951    0.12564E+04    0.36706E+02    0.43526E+02    0.24635E+06    0.66385E+02
   952    0.12473E+04    0.36932E+02    0.42511E+02    0.24587E+06    0.65623E+02
   953    0.12383E+04    0.37152E+02    0.41475E+02    0.24540E+06    0.64863E+02
   954    0.12293E+04    0.37369E+02    0.40419E+02    0.24493E+06    0.64106E+02
   955    0.12205E+04    0.37581E+02    0.39343E+02    0.24446E+06    0.63352E+02
   956    0.12118E+04    0.37789E+02    0.38246E+02    0.24399E+06    0.62601E+02
   957    0.12033E+04    0.37992E+02    0.37132E+02    0.24353E+06    0.61853E+02
   958    0.11948E+04    0.38189E+02    0.35997E+02    0.24306E+06    0.61109E+02
   959    0.11866E+04    0.38383E+02    0.34845E+02    0.24260E+06    0.60367E+02
   960    0.11784E+04    0.38572E+02    0.33677E+02    0.24213E+06    0.59629E+02
   961    0.11704E+04    0.38755E+02    0.32490E+02    0.24167E+06    0.58894E+02
   962    0.11625E+04    0.38934E+02    0.31288E+02    0.24121E+06    0.58163E+02
   963    0.11548E+04    0.39108E+02    0.30070E+02    0.24075E+06    0.57434E+02
   964    0.11472E+04    0.39276E+02    0.28837E+02    0.24029E+06    0.56709E+02
   965    0.11397E+04    0.39439E+02    0.27589E+02    0.23984E+06    0.55988E+02
   966    0.11324E+04    0.39598E+02    0.26327E+02    0.23938E+06    0.55270E+02
   967    0.11252E+04    0.39751E+02    0.25051E+02    0.23892E+06    0.54555E+02
   968    0.11181E+04    0.39897E+02    0.23762E+02    0.23847E+06    0.53844E+02
   969    0.11112E+04    0.40039E+02    0.22461E+02    0.23802E+06    0.53136E+02
   970    0.11045E+04    0.40176E+02    0.21147E+02    0.23757E+06    0.52432E+02
   971    0.10978E+04    0.40306E+02    0.19822E+02    0.23712E+06    0.51731E+02
   972    0.10913E+04    0.40431E+02    0.18487E+02    0.23667E+06    0.51035E+02
   973    0.10849E+04    0.40550E+02    0.17141E+02    0.23622E+06    0.50341E+02
   974    0.10788E+04    0.40664E+02    0.15785E+02    0.23577E+06    0.49652E+02
   975    0.10727E+04    0.40772E+02    0.14420E+02    0.23533E+06    0.48966E+02
   976    0.10669E+04    0.40873E+02    0.13046E+02    0.23488E+06    0.48284E+02
   977    0.10611E+04    0.40970E+02    0.11666E+02    0.23444E+06    0.47606E+02
   978    0.10555E+04    0.41060E+02    0.10277E+02    0.23400E+06    0.46932E+02
   979    0.10501E+04    0.41145E+02    0.88822E+01    0.23356E+06    0.46262E+02
   980    0.10448E+04    0.41224E+02    0.74809E+01    0.23312E+06    0.45595E+02
   981    0.10396E+04    0.41295E+02    0.60738E+01    0.23268E+06    0.44933E+02
   982    0.10346E+04    0.41362E+02    0.46620E+01    0.23224E+06    0.44274E+02
   983    0.10298E+04    0.41423E+02    0.32456E+01    0.23180E+06    0.43620E+02
   984    0.10251E+04    0.41476E+02    0.18252E+01    0.23137E+06    0.42969E+02
   985    0.10206E+04    0.41525E+02    0.40121E+00    0.23093E+06    0.42323E+02
   986    0.10161E+04    0.41567E+02   -0.10253E+01    0.23050E+06    0.41681E+02
   987    0.10118E+04    0.41603E+02   -0.24544E+01    0.23007E+06    0.41043E+02
   988    0.10078E+04    0.41634E+02   -0.38850E+01    0.22964E+06    0.40409E+02
   989    0.10038E+04    0.41657E+02   -0.53158E+01    0.22921E+06    0.39780E+02
   990    0.10000E+04    0.41679E+02   -0.67482E+01    0.22878E+06    0.39154E+02
   991    0.99640E+03    0.41690E+02   -0.81802E+01    0.22835E+06    0.38533E+02
   992    0.99290E+03    0.41696E+02   -0.96119E+01    0.22792E+06    0.37917E+02
   993    0.98947E+03    0.41696E+02   -0.11042E+02    0.22750E+06    0.37305E+02
   994    0.98625E+03    0.41690E+02   -0.12471E+02    0.22707E+06    0.36697E+02
   995    0.98326E+03    0.41678E+02   -0.13897E+02    0.22665E+06    0.36093E+02
   996    0.98034E+03    0.41658E+02   -0.15320E+02    0.22623E+06    0.35495E+02
   997    0.97756E+03    0.41635E+02   -0.16741E+02    0.22581E+06    0.34900E+02
   998    0.97493E+03    0.41605E+02   -0.18156E+02    0.22539E+06    0.34311E+02
   999    0.97245E+03    0.41568E+02   -0.19567E+02    0.22497E+06    0.33726E+02
  1000    0.97010E+03    0.41527E+02   -0.20974E+02    0.22455E+06    0.33145E+02
  1001    0.96791E+03    0.41478E+02   -0.22374E+02    0.22413E+06    0.32569E+02
  1002    0.96579E+03    0.41423E+02   -0.23768E+02    0.22372E+06    0.31998E+02
  1003    0.96388E+03    0.41364E+02   -0.25156E+02    0.22330E+06    0.31432E+02
  1004    0.96212E+03    0.41297E+02   -0.26536E+02    0.22289E+06    0.30870E+02
  1005    0.96059E+03    0.41225E+02   -0.27908E+02    0.22248E+06    0.30313E+02
  1006    0.95912E+03    0.41147E+02   -0.29271E+02    0.22206E+06    0.29760E+02
  1007    0.95773E+03    0.41063E+02   -0.30626E+02    0.22165E+06    0.29213E+02
  1008    0.95626E+03    0.40973E+02   -0.31971E+02    0.22124E+06    0.28670E+02
  1009    0.95516E+03    0.40877E+02   -0.33306E+02    0.22083E+06    0.28132E+02
  1010    0.95421E+03    0.40776E+02   -0.34631E+02    0.22043E+06    0.27598E+02
  1011    0.95333E+03    0.40670E+02   -0.35944E+02    0.22002E+06    0.27070E+02
  1012    0.95259E+03    0.40558E+02   -0.37248E+02    0.21962E+06    0.26546E+02
  1013    0.95201E+03    0.40441E+02   -0.38537E+02    0.21921E+06    0.26027E+02
  1014    0.95157E+03    0.40318E+02   -0.39816E+02    0.21881E+06    0.25513E+02
  1015    0.95113E+03    0.40191E+02   -0.41081E+02    0.21840E+06    0.25003E+02
  1016    0.95091E+03    0.40056E+02   -0.42334E+02    0.21800E+06    0.24498E+02
  1017    0.95084E+03    0.39918E+02   -0.43572E+02    0.21760E+06    0.23998E+02
  1018    0.95084E+03    0.39773E+02   -0.44797E+02    0.21720E+06    0.23503E+02
  1019    0.95092E+03    0.39625E+02   -0.46007E+02    0.21681E+06    0.23013E+02
  1020    0.95122E+03    0.39469E+02   -0.47202E+02    0.21641E+06    0.22528E+02
  1021    0.95160E+03    0.39308E+02   -0.48382E+02    0.21601E+06    0.22047E+02
  1022    0.95204E+03    0.39144E+02   -0.49547E+02    0.21562E+06    0.21571E+02
  1023    0.95264E+03    0.38973E+02   -0.50692E+02    0.21522E+06    0.21100E+02
  1024    0.95331E+03    0.38798E+02   -0.51823E+02    0.21483E+06    0.20634E+02
  1025    0.95406E+03    0.38619E+02   -0.52933E+02    0.21444E+06    0.20173E+02
  1026    0.95518E+03    0.38433E+02   -0.54028E+02    0.21405E+06    0.19717E+02
  1027    0.95615E+03    0.38245E+02   -0.55104E+02    0.21365E+06    0.19266E+02
  1028    0.95720E+03    0.38052E+02   -0.56161E+02    0.21327E+06    0.18819E+02
  1029    0.95839E+03    0.37854E+02   -0.57201E+02    0.21288E+06    0.18378E+02
  1030    0.95966E+03    0.37652E+02   -0.58221E+02    0.21249E+06    0.17941E+02
  1031    0.96086E+03    0.37446E+02   -0.59220E+02    0.21210E+06    0.17510E+02
  1032    0.96236E+03    0.37233E+02   -0.60203E+02    0.21172E+06    0.17083E+02
  1033    0.96385E+03    0.37018E+02   -0.61166E+02    0.21133E+06    0.16661E+02
  1034    0.96558E+03    0.36800E+02   -0.62107E+02    0.21095E+06    0.16244E+02
