#    L    TT             EE             TE
   507    0.23998E+04    0.71916E+01   -0.52103E+02
   508    0.24063E+04    0.71037E+01   -0.51034E+02
   509    0.24126E+04    0.70192E+01   -0.49948E+02
   510    0.24186E+04    0.69390E+01   -0.48846E+02
   511    0.24245E+04    0.68625E+01   -0.47727E+02
   512    0.24302E+04    0.67903E+01   -0.46592E+02
   513    0.24357E+04    0.67223E+01   -0.45443E+02
   514    0.24410E+04    0.66585E+01   -0.44281E+02
   515    0.24460E+04    0.65991E+01   -0.43104E+02
   516    0.24509E+04    0.65440E+01   -0.41915E+02
   517    0.24554E+04    0.64935E+01   -0.40714E+02
   518    0.24599E+04    0.64473E+01   -0.39502E+02
   519    0.24641E+04    0.64057E+01   -0.38278E+02
   520    0.24681E+04    0.63686E+01   -0.37046E+02
   521    0.24718E+04    0.63362E+01   -0.35804E+02
   522    0.24753E+04    0.63085E+01   -0.34554E+02
   523    0.24786E+04    0.62855E+01   -0.33296E+02
   524    0.24817E+04    0.62672E+01   -0.32031E+02
   525    0.24844E+04    0.62537E+01   -0.30759E+02
   526    0.24870E+04    0.62451E+01   -0.29482E+02
   527    0.24895E+04    0.62412E+01   -0.28200E+02
   528    0.24917E+04    0.62422E+01   -0.26914E+02
   529    0.24936E+04    0.62484E+01   -0.25625E+02
   530    0.24952E+04    0.62594E+01   -0.24334E+02
   531    0.24969E+04    0.62752E+01   -0.23040E+02
   532    0.24981E+04    0.62962E+01   -0.21745E+02
   533    0.24990E+04    0.63221E+01   -0.20450E+02
   534    0.24998E+04    0.63532E+01   -0.19156E+02
   535    0.25003E+04    0.63893E+01   -0.17863E+02
   536    0.25006E+04    0.64304E+01   -0.16571E+02
   537    0.25008E+04    0.64766E+01   -0.15282E+02
   538    0.25006E+04    0.65280E+01   -0.13996E+02
   539    0.25003E+04    0.65843E+01   -0.12715E+02
   540    0.24997E+04    0.66460E+01   -0.11438E+02
   541    0.24988E+04    0.67125E+01   -0.10166E+02
   542    0.24978E+04    0.67842E+01   -0.89015E+01
   543    0.24965E+04    0.68612E+01   -0.76432E+01
   544    0.24950E+04    0.69432E+01   -0.63926E+01
   545    0.24933E+04    0.70302E+01   -0.51500E+01
   546    0.24914E+04    0.71221E+01   -0.39166E+01
   547    0.24892E+04    0.72191E+01   -0.26927E+01
   548    0.24868E+04    0.73211E+01   -0.14791E+01
   549    0.24843E+04    0.74283E+01   -0.27669E+00
   550    0.24815E+04    0.75405E+01    0.91405E+00
   551    0.24786E+04    0.76577E+01    0.20925E+01
   552    0.24753E+04    0.77801E+01    0.32576E+01
   553    0.24719E+04    0.79060E+01    0.44091E+01
   554    0.24683E+04    0.80385E+01    0.55462E+01
   555    0.24645E+04    0.81754E+01    0.66680E+01
   556    0.24605E+04    0.83173E+01    0.77745E+01
   557    0.24563E+04    0.84636E+01    0.88637E+01
   558    0.24518E+04    0.86158E+01    0.99363E+01
   559    0.24472E+04    0.87716E+01    0.10992E+02
   560    0.24425E+04    0.89317E+01    0.12028E+02
   561    0.24374E+04    0.90970E+01    0.13045E+02
   562    0.24323E+04    0.92674E+01    0.14043E+02
   563    0.24270E+04    0.94414E+01    0.15023E+02
   564    0.24215E+04    0.96213E+01    0.15980E+02
   565    0.24158E+04    0.98041E+01    0.16916E+02
   566    0.24099E+04    0.99921E+01    0.17830E+02
   567    0.24040E+04    0.10184E+02    0.18723E+02
   568    0.23978E+04    0.10380E+02    0.19592E+02
   569    0.23914E+04    0.10582E+02    0.20439E+02
   570    0.23850E+04    0.10787E+02    0.21261E+02
   571    0.23783E+04    0.10996E+02    0.22058E+02
   572    0.23715E+04    0.11209E+02    0.22831E+02
   573    0.23646E+04    0.11425E+02    0.23577E+02
   574    0.23575E+04    0.11646E+02    0.24299E+02
   575    0.23503E+04    0.11870E+02    0.24993E+02
   576    0.23430E+04    0.12099E+02    0.25662E+02
   577    0.23355E+04    0.12331E+02    0.26304E+02
   578    0.23279E+04    0.12566E+02    0.26917E+02
   579    0.23203E+04    0.12806E+02    0.27504E+02
   580    0.23125E+04    0.13048E+02    0.28061E+02
   581    0.23045E+04    0.13294E+02    0.28591E+02
   582    0.22964E+04    0.13543E+02    0.29091E+02
   583    0.22883E+04    0.13795E+02    0.29561E+02
   584    0.22801E+04    0.14051E+02    0.30003E+02
   585    0.22718E+04    0.14309E+02    0.30414E+02
   586    0.22633E+04    0.14569E+02    0.30795E+02
   587    0.22549E+04    0.14834E+02    0.31146E+02
   588    0.22463E+04    0.15100E+02    0.31465E+02
   589    0.22376E+04    0.15370E+02    0.31754E+02
   590    0.22288E+04    0.15641E+02    0.32011E+02
   591    0.22201E+04    0.15916E+02    0.32237E+02
   592    0.22112E+04    0.16191E+02    0.32431E+02
   593    0.22023E+04    0.16471E+02    0.32594E+02
   594    0.21932E+04    0.16752E+02    0.32724E+02
   595    0.21841E+04    0.17033E+02    0.32823E+02
   596    0.21751E+04    0.17319E+02    0.32888E+02
   597    0.21660E+04    0.17604E+02    0.32922E+02
   598    0.21570E+04    0.17892E+02    0.32923E+02
   599    0.21479E+04    0.18181E+02    0.32892E+02
   600    0.21387E+04    0.18472E+02    0.32828E+02
   601    0.21295E+04    0.18765E+02    0.32732E+02
   602    0.21203E+04    0.19058E+02    0.32602E+02
   603    0.21110E+04    0.19353E+02    0.32440E+02
   604    0.21018E+04    0.19648E+02    0.32246E+02
   605    0.20926E+04    0.19944E+02    0.32018E+02
   606    0.20834E+04    0.20241E+02    0.31758E+02
   607    0.20740E+04    0.20539E+02    0.31466E+02
   608    0.20648E+04    0.20838E+02    0.31140E+02
   609    0.20557E+04    0.21136E+02    0.30782E+02
   610    0.20465E+04    0.21434E+02    0.30390E+02
   611    0.20373E+04    0.21733E+02    0.29967E+02
   612    0.20283E+04    0.22033E+02    0.29512E+02
   613    0.20191E+04    0.22330E+02    0.29024E+02
   614    0.20101E+04    0.22629E+02    0.28503E+02
   615    0.20011E+04    0.22926E+02    0.27951E+02
   616    0.19921E+04    0.23224E+02    0.27367E+02
   617    0.19833E+04    0.23522E+02    0.26751E+02
   618    0.19745E+04    0.23819E+02    0.26104E+02
   619    0.19657E+04    0.24116E+02    0.25427E+02
   620    0.19571E+04    0.24411E+02    0.24718E+02
   621    0.19484E+04    0.24705E+02    0.23978E+02
   622    0.19398E+04    0.24999E+02    0.23207E+02
   623    0.19314E+04    0.25290E+02    0.22408E+02
   624    0.19230E+04    0.25580E+02    0.21578E+02
   625    0.19147E+04    0.25868E+02    0.20718E+02
   626    0.19065E+04    0.26156E+02    0.19829E+02
   627    0.18984E+04    0.26441E+02    0.18912E+02
   628    0.18904E+04    0.26724E+02    0.17965E+02
   629    0.18825E+04    0.27005E+02    0.16990E+02
   630    0.18747E+04    0.27285E+02    0.15986E+02
   631    0.18669E+04    0.27562E+02    0.14956E+02
   632    0.18594E+04    0.27836E+02    0.13898E+02
   633    0.18519E+04    0.28109E+02    0.12814E+02
   634    0.18446E+04    0.28378E+02    0.11704E+02
   635    0.18374E+04    0.28646E+02    0.10567E+02
   636    0.18303E+04    0.28911E+02    0.94062E+01
   637    0.18233E+04    0.29172E+02    0.82191E+01
   638    0.18165E+04    0.29431E+02    0.70085E+01
   639    0.18098E+04    0.29686E+02    0.57733E+01
   640    0.18033E+04    0.29939E+02    0.45150E+01
   641    0.17969E+04    0.30189E+02    0.32335E+01
   642    0.17906E+04    0.30434E+02    0.19297E+01
   643    0.17845E+04    0.30678E+02    0.60404E+00
   644    0.17786E+04    0.30915E+02   -0.74294E+00
   645    0.17727E+04    0.31150E+02   -0.21109E+01
   646    0.17670E+04    0.31382E+02   -0.34993E+01
   647    0.17616E+04    0.31609E+02   -0.49079E+01
   648    0.17562E+04    0.31833E+02   -0.63348E+01
   649    0.17511E+04    0.32052E+02   -0.77808E+01
   650    0.17461E+04    0.32267E+02   -0.92445E+01
   651    0.17413E+04    0.32479E+02   -0.10726E+02
   652    0.17366E+04    0.32686E+02   -0.12224E+02
   653    0.17322E+04    0.32887E+02   -0.13738E+02
   654    0.17279E+04    0.33085E+02   -0.15267E+02
   655    0.17237E+04    0.33279E+02   -0.16811E+02
   656    0.17198E+04    0.33468E+02   -0.18369E+02
   657    0.17160E+04    0.33652E+02   -0.19940E+02
   658    0.17123E+04    0.33832E+02   -0.21524E+02
   659    0.17090E+04    0.34006E+02   -0.23121E+02
   660    0.17058E+04    0.34175E+02   -0.24728E+02
   661    0.17028E+04    0.34340E+02   -0.26345E+02
   662    0.16999E+04    0.34500E+02   -0.27974E+02
   663    0.16973E+04    0.34655E+02   -0.29612E+02
   664    0.16948E+04    0.34803E+02   -0.31258E+02
   665    0.16925E+04    0.34947E+02   -0.32912E+02
   666    0.16904E+04    0.35085E+02   -0.34573E+02
   667    0.16885E+04    0.35218E+02   -0.36241E+02
   668    0.16867E+04    0.35346E+02   -0.37916E+02
   669    0.16852E+04    0.35468E+02   -0.39595E+02
   670    0.16838E+04    0.35585E+02   -0.41277E+02
   671    0.16828E+04    0.35697E+02   -0.42964E+02
   672    0.16818E+04    0.35802E+02   -0.44654E+02
   673    0.16810E+04    0.35903E+02   -0.46346E+02
   674    0.16805E+04    0.35998E+02   -0.48039E+02
   675    0.16801E+04    0.36087E+02   -0.49734E+02
   676    0.16799E+04    0.36170E+02   -0.51428E+02
   677    0.16799E+04    0.36247E+02   -0.53121E+02
   678    0.16801E+04    0.36318E+02   -0.54813E+02
   679    0.16805E+04    0.36384E+02   -0.56503E+02
   680    0.16812E+04    0.36444E+02   -0.58191E+02
   681    0.16820E+04    0.36498E+02   -0.59873E+02
   682    0.16830E+04    0.36545E+02   -0.61553E+02
   683    0.16842E+04    0.36588E+02   -0.63229E+02
   684    0.16856E+04    0.36623E+02   -0.64899E+02
   685    0.16870E+04    0.36653E+02   -0.66563E+02
   686    0.16887E+04    0.36676E+02   -0.68212E+02
   687    0.16907E+04    0.36695E+02   -0.69857E+02
   688    0.16928E+04    0.36706E+02   -0.71496E+02
   689    0.16951E+04    0.36712E+02   -0.73122E+02
   690    0.16975E+04    0.36713E+02   -0.74742E+02
   691    0.17002E+04    0.36705E+02   -0.76349E+02
   692    0.17030E+04    0.36694E+02   -0.77942E+02
   693    0.17061E+04    0.36676E+02   -0.79530E+02
   694    0.17092E+04    0.36651E+02   -0.81097E+02
   695    0.17126E+04    0.36622E+02   -0.82651E+02
   696    0.17161E+04    0.36586E+02   -0.84206E+02
   697    0.17198E+04    0.36544E+02   -0.85734E+02
   698    0.17237E+04    0.36496E+02   -0.87248E+02
   699    0.17277E+04    0.36443E+02   -0.88742E+02
   700    0.17319E+04    0.36383E+02   -0.90222E+02
   701    0.17363E+04    0.36317E+02   -0.91690E+02
   702    0.17409E+04    0.36247E+02   -0.93130E+02
   703    0.17455E+04    0.36170E+02   -0.94571E+02
   704    0.17504E+04    0.36088E+02   -0.95977E+02
   705    0.17553E+04    0.35999E+02   -0.97363E+02
   706    0.17604E+04    0.35905E+02   -0.98735E+02
   707    0.17656E+04    0.35806E+02   -0.10009E+03
   708    0.17712E+04    0.35701E+02   -0.10140E+03
   709    0.17767E+04    0.35591E+02   -0.10271E+03
   710    0.17824E+04    0.35475E+02   -0.10400E+03
   711    0.17882E+04    0.35353E+02   -0.10525E+03
   712    0.17942E+04    0.35227E+02   -0.10649E+03
   713    0.18004E+04    0.35095E+02   -0.10770E+03
   714    0.18065E+04    0.34958E+02   -0.10889E+03
   715    0.18129E+04    0.34816E+02   -0.11005E+03
   716    0.18194E+04    0.34669E+02   -0.11119E+03
   717    0.18260E+04    0.34517E+02   -0.11229E+03
   718    0.18327E+04    0.34360E+02   -0.11338E+03
   719    0.18395E+04    0.34196E+02   -0.11442E+03
   720    0.18463E+04    0.34029E+02   -0.11546E+03
   721    0.18534E+04    0.33858E+02   -0.11645E+03
   722    0.18605E+04    0.33682E+02   -0.11741E+03
   723    0.18677E+04    0.33501E+02   -0.11835E+03
   724    0.18750E+04    0.33316E+02   -0.11926E+03
   725    0.18824E+04    0.33127E+02   -0.12014E+03
   726    0.18899E+04    0.32934E+02   -0.12098E+03
   727    0.18974E+04    0.32736E+02   -0.12180E+03
   728    0.19050E+04    0.32533E+02   -0.12259E+03
   729    0.19127E+04    0.32327E+02   -0.12334E+03
   730    0.19204E+04    0.32117E+02   -0.12407E+03
   731    0.19284E+04    0.31902E+02   -0.12475E+03
   732    0.19362E+04    0.31685E+02   -0.12540E+03
   733    0.19443E+04    0.31464E+02   -0.12603E+03
   734    0.19523E+04    0.31239E+02   -0.12661E+03
   735    0.19604E+04    0.31010E+02   -0.12718E+03
   736    0.19684E+04    0.30777E+02   -0.12769E+03
   737    0.19766E+04    0.30543E+02   -0.12819E+03
   738    0.19848E+04    0.30305E+02   -0.12863E+03
   739    0.19930E+04    0.30064E+02   -0.12905E+03
   740    0.20012E+04    0.29820E+02   -0.12944E+03
   741    0.20095E+04    0.29572E+02   -0.12979E+03
   742    0.20178E+04    0.29323E+02   -0.13010E+03
   743    0.20262E+04    0.29073E+02   -0.13038E+03
   744    0.20346E+04    0.28819E+02   -0.13062E+03
   745    0.20429E+04    0.28562E+02   -0.13084E+03
   746    0.20512E+04    0.28304E+02   -0.13100E+03
   747    0.20595E+04    0.28043E+02   -0.13113E+03
   748    0.20678E+04    0.27781E+02   -0.13124E+03
   749    0.20762E+04    0.27515E+02   -0.13131E+03
   750    0.20845E+04    0.27249E+02   -0.13134E+03
   751    0.20929E+04    0.26981E+02   -0.13134E+03
   752    0.21012E+04    0.26712E+02   -0.13129E+03
   753    0.21095E+04    0.26441E+02   -0.13122E+03
   754    0.21177E+04    0.26169E+02   -0.13110E+03
   755    0.21260E+04    0.25896E+02   -0.13095E+03
   756    0.21341E+04    0.25622E+02   -0.13077E+03
   757    0.21423E+04    0.25348E+02   -0.13054E+03
   758    0.21503E+04    0.25072E+02   -0.13028E+03
   759    0.21585E+04    0.24795E+02   -0.12999E+03
   760    0.21664E+04    0.24518E+02   -0.12966E+03
   761    0.21743E+04    0.24241E+02   -0.12929E+03
   762    0.21823E+04    0.23963E+02   -0.12890E+03
   763    0.21901E+04    0.23687E+02   -0.12846E+03
   764    0.21979E+04    0.23409E+02   -0.12800E+03
   765    0.22056E+04    0.23131E+02   -0.12749E+03
   766    0.22132E+04    0.22855E+02   -0.12695E+03
   767    0.22208E+04    0.22579E+02   -0.12638E+03
   768    0.22282E+04    0.22303E+02   -0.12576E+03
   769    0.22356E+04    0.22026E+02   -0.12512E+03
   770    0.22429E+04    0.21752E+02   -0.12445E+03
   771    0.22501E+04    0.21478E+02   -0.12374E+03
   772    0.22572E+04    0.21206E+02   -0.12298E+03
   773    0.22642E+04    0.20935E+02   -0.12221E+03
   774    0.22710E+04    0.20665E+02   -0.12140E+03
   775    0.22779E+04    0.20396E+02   -0.12056E+03
   776    0.22845E+04    0.20130E+02   -0.11969E+03
   777    0.22910E+04    0.19864E+02   -0.11878E+03
   778    0.22976E+04    0.19601E+02   -0.11783E+03
   779    0.23038E+04    0.19339E+02   -0.11687E+03
   780    0.23100E+04    0.19079E+02   -0.11586E+03
   781    0.23161E+04    0.18822E+02   -0.11484E+03
   782    0.23220E+04    0.18567E+02   -0.11379E+03
   783    0.23279E+04    0.18314E+02   -0.11270E+03
   784    0.23336E+04    0.18064E+02   -0.11158E+03
   785    0.23390E+04    0.17816E+02   -0.11043E+03
   786    0.23445E+04    0.17571E+02   -0.10924E+03
   787    0.23497E+04    0.17329E+02   -0.10803E+03
   788    0.23547E+04    0.17089E+02   -0.10679E+03
   789    0.23597E+04    0.16851E+02   -0.10554E+03
   790    0.23646E+04    0.16619E+02   -0.10425E+03
   791    0.23692E+04    0.16389E+02   -0.10293E+03
   792    0.23737E+04    0.16163E+02   -0.10159E+03
   793    0.23780E+04    0.15941E+02   -0.10022E+03
   794    0.23821E+04    0.15723E+02   -0.98829E+02
   795    0.23861E+04    0.15507E+02   -0.97411E+02
   796    0.23901E+04    0.15296E+02   -0.95977E+02
   797    0.23937E+04    0.15088E+02   -0.94514E+02
   798    0.23971E+04    0.14884E+02   -0.93035E+02
   799    0.24005E+04    0.14685E+02   -0.91534E+02
   800    0.24036E+04    0.14490E+02   -0.90011E+02
   801    0.24066E+04    0.14299E+02   -0.88472E+02
   802    0.24093E+04    0.14112E+02   -0.86895E+02
   803    0.24120E+04    0.13929E+02   -0.85318E+02
   804    0.24144E+04    0.13751E+02   -0.83711E+02
   805    0.24168E+04    0.13577E+02   -0.82088E+02
   806    0.24188E+04    0.13408E+02   -0.80450E+02
   807    0.24207E+04    0.13244E+02   -0.78797E+02
   808    0.24223E+04    0.13085E+02   -0.77121E+02
   809    0.24239E+04    0.12931E+02   -0.75436E+02
   810    0.24252E+04    0.12782E+02   -0.73729E+02
   811    0.24263E+04    0.12638E+02   -0.72007E+02
   812    0.24272E+04    0.12500E+02   -0.70275E+02
   813    0.24279E+04    0.12366E+02   -0.68531E+02
   814    0.24285E+04    0.12238E+02   -0.66775E+02
   815    0.24289E+04    0.12115E+02   -0.65007E+02
   816    0.24290E+04    0.11998E+02   -0.63227E+02
   817    0.24289E+04    0.11885E+02   -0.61438E+02
   818    0.24288E+04    0.11779E+02   -0.59638E+02
   819    0.24283E+04    0.11678E+02   -0.57830E+02
   820    0.24278E+04    0.11583E+02   -0.56012E+02
   821    0.24269E+04    0.11492E+02   -0.54189E+02
   822    0.24259E+04    0.11409E+02   -0.52357E+02
   823    0.24247E+04    0.11331E+02   -0.50519E+02
   824    0.24232E+04    0.11259E+02   -0.48674E+02
   825    0.24216E+04    0.11192E+02   -0.46826E+02
   826    0.24197E+04    0.11132E+02   -0.44973E+02
   827    0.24177E+04    0.11077E+02   -0.43117E+02
   828    0.24155E+04    0.11029E+02   -0.41258E+02
   829    0.24131E+04    0.10987E+02   -0.39396E+02
   830    0.24105E+04    0.10950E+02   -0.37536E+02
   831    0.24077E+04    0.10920E+02   -0.35674E+02
   832    0.24047E+04    0.10895E+02   -0.33812E+02
   833    0.24015E+04    0.10876E+02   -0.31951E+02
   834    0.23980E+04    0.10863E+02   -0.30091E+02
   835    0.23945E+04    0.10858E+02   -0.28234E+02
   836    0.23906E+04    0.10857E+02   -0.26379E+02
   837    0.23867E+04    0.10863E+02   -0.24527E+02
   838    0.23825E+04    0.10875E+02   -0.22680E+02
   839    0.23780E+04    0.10893E+02   -0.20836E+02
   840    0.23735E+04    0.10918E+02   -0.18998E+02
   841    0.23687E+04    0.10948E+02   -0.17168E+02
   842    0.23637E+04    0.10984E+02   -0.15342E+02
   843    0.23586E+04    0.11027E+02   -0.13527E+02
   844    0.23532E+04    0.11075E+02   -0.11718E+02
   845    0.23477E+04    0.11129E+02   -0.99187E+01
   846    0.23421E+04    0.11191E+02   -0.81294E+01
   847    0.23363E+04    0.11257E+02   -0.63499E+01
   848    0.23303E+04    0.11330E+02   -0.45820E+01
   849    0.23240E+04    0.11408E+02   -0.28251E+01
   850    0.23177E+04    0.11493E+02   -0.10802E+01
   851    0.23111E+04    0.11583E+02    0.65197E+00
   852    0.23044E+04    0.11680E+02    0.23711E+01
   853    0.22975E+04    0.11782E+02    0.40765E+01
   854    0.22904E+04    0.11890E+02    0.57667E+01
   855    0.22831E+04    0.12005E+02    0.74426E+01
   856    0.22757E+04    0.12123E+02    0.91024E+01
   857    0.22681E+04    0.12248E+02    0.10745E+02
   858    0.22604E+04    0.12381E+02    0.12371E+02
   859    0.22524E+04    0.12516E+02    0.13981E+02
   860    0.22445E+04    0.12657E+02    0.15572E+02
   861    0.22362E+04    0.12805E+02    0.17144E+02
   862    0.22279E+04    0.12958E+02    0.18697E+02
   863    0.22194E+04    0.13116E+02    0.20230E+02
   864    0.22107E+04    0.13279E+02    0.21743E+02
   865    0.22018E+04    0.13447E+02    0.23234E+02
   866    0.21930E+04    0.13621E+02    0.24704E+02
   867    0.21839E+04    0.13801E+02    0.26151E+02
   868    0.21748E+04    0.13985E+02    0.27576E+02
   869    0.21654E+04    0.14174E+02    0.28979E+02
   870    0.21560E+04    0.14367E+02    0.30357E+02
   871    0.21464E+04    0.14566E+02    0.31712E+02
   872    0.21367E+04    0.14769E+02    0.33043E+02
   873    0.21268E+04    0.14977E+02    0.34348E+02
   874    0.21169E+04    0.15191E+02    0.35628E+02
   875    0.21068E+04    0.15407E+02    0.36884E+02
   876    0.20966E+04    0.15629E+02    0.38113E+02
   877    0.20864E+04    0.15855E+02    0.39315E+02
   878    0.20760E+04    0.16084E+02    0.40491E+02
   879    0.20655E+04    0.16319E+02    0.41640E+02
   880    0.20550E+04    0.16557E+02    0.42761E+02
   881    0.20443E+04    0.16798E+02    0.43854E+02
   882    0.20335E+04    0.17044E+02    0.44919E+02
   883    0.20227E+04    0.17295E+02    0.45954E+02
   884    0.20117E+04    0.17547E+02    0.46961E+02
   885    0.20007E+04    0.17804E+02    0.47938E+02
   886    0.19896E+04    0.18065E+02    0.48886E+02
   887    0.19783E+04    0.18328E+02    0.49804E+02
   888    0.19672E+04    0.18595E+02    0.50691E+02
   889    0.19557E+04    0.18864E+02    0.51549E+02
   890    0.19443E+04    0.19138E+02    0.52374E+02
   891    0.19329E+04    0.19414E+02    0.53169E+02
   892    0.19214E+04    0.19692E+02    0.53934E+02
   893    0.19098E+04    0.19974E+02    0.54668E+02
   894    0.18982E+04    0.20258E+02    0.55369E+02
   895    0.18865E+04    0.20543E+02    0.56041E+02
   896    0.18748E+04    0.20832E+02    0.56680E+02
   897    0.18629E+04    0.21124E+02    0.57287E+02
   898    0.18512E+04    0.21417E+02    0.57863E+02
   899    0.18394E+04    0.21712E+02    0.58406E+02
   900    0.18275E+04    0.22009E+02    0.58918E+02
   901    0.18156E+04    0.22307E+02    0.59398E+02
   902    0.18037E+04    0.22607E+02    0.59845E+02
   903    0.17916E+04    0.22909E+02    0.60260E+02
   904    0.17798E+04    0.23211E+02    0.60641E+02
   905    0.17678E+04    0.23516E+02    0.60990E+02
   906    0.17557E+04    0.23821E+02    0.61306E+02
   907    0.17438E+04    0.24127E+02    0.61590E+02
   908    0.17319E+04    0.24434E+02    0.61841E+02
   909    0.17199E+04    0.24742E+02    0.62058E+02
   910    0.17079E+04    0.25052E+02    0.62244E+02
   911    0.16959E+04    0.25360E+02    0.62396E+02
   912    0.16839E+04    0.25670E+02    0.62516E+02
   913    0.16717E+04    0.25979E+02    0.62603E+02
   914    0.16598E+04    0.26288E+02    0.62658E+02
   915    0.16478E+04    0.26598E+02    0.62681E+02
   916    0.16359E+04    0.26907E+02    0.62671E+02
   917    0.16240E+04    0.27217E+02    0.62629E+02
   918    0.16121E+04    0.27526E+02    0.62555E+02
   919    0.16003E+04    0.27834E+02    0.62448E+02
   920    0.15885E+04    0.28142E+02    0.62310E+02
   921    0.15768E+04    0.28449E+02    0.62139E+02
   922    0.15650E+04    0.28755E+02    0.61937E+02
   923    0.15533E+04    0.29059E+02    0.61704E+02
   924    0.15417E+04    0.29364E+02    0.61440E+02
   925    0.15302E+04    0.29666E+02    0.61144E+02
   926    0.15186E+04    0.29967E+02    0.60818E+02
   927    0.15072E+04    0.30267E+02    0.60461E+02
   928    0.14958E+04    0.30565E+02    0.60073E+02
   929    0.14844E+04    0.30862E+02    0.59657E+02
   930    0.14732E+04    0.31155E+02    0.59209E+02
   931    0.14619E+04    0.31449E+02    0.58733E+02
   932    0.14508E+04    0.31738E+02    0.58227E+02
   933    0.14398E+04    0.32026E+02    0.57693E+02
   934    0.14288E+04    0.32313E+02    0.57131E+02
   935    0.14179E+04    0.32596E+02    0.56539E+02
   936    0.14071E+04    0.32876E+02    0.55920E+02
   937    0.13963E+04    0.33155E+02    0.55273E+02
   938    0.13857E+04    0.33430E+02    0.54599E+02
   939    0.13752E+04    0.33702E+02    0.53898E+02
   940    0.13647E+04    0.33972E+02    0.53171E+02
   941    0.13543E+04    0.34238E+02    0.52416E+02
   942    0.13440E+04    0.34501E+02    0.51636E+02
   943    0.13340E+04    0.34760E+02    0.50831E+02
   944    0.13239E+04    0.35016E+02    0.50001E+02
   945    0.13140E+04    0.35268E+02    0.49145E+02
   946    0.13042E+04    0.35517E+02    0.48266E+02
   947    0.12944E+04    0.35762E+02    0.47363E+02
   948    0.12847E+04    0.36005E+02    0.46436E+02
   949    0.12752E+04    0.36242E+02    0.45488E+02
   950    0.12658E+04    0.36475E+02    0.44516E+02
   951    0.12565E+04    0.36705E+02    0.43523E+02
   952    0.12474E+04    0.36931E+02    0.42508E+02
   953    0.12384E+04    0.37152E+02    0.41472E+02
   954    0.12294E+04    0.37369E+02    0.40416E+02
   955    0.12206E+04    0.37581E+02    0.39340E+02
   956    0.12119E+04    0.37789E+02    0.38243E+02
   957    0.12034E+04    0.37991E+02    0.37129E+02
   958    0.11949E+04    0.38189E+02    0.35994E+02
   959    0.11867E+04    0.38383E+02    0.34842E+02
   960    0.11785E+04    0.38571E+02    0.33674E+02
   961    0.11705E+04    0.38755E+02    0.32488E+02
   962    0.11626E+04    0.38933E+02    0.31285E+02
   963    0.11549E+04    0.39107E+02    0.30067E+02
   964    0.11473E+04    0.39275E+02    0.28834E+02
   965    0.11398E+04    0.39439E+02    0.27586E+02
   966    0.11325E+04    0.39597E+02    0.26324E+02
   967    0.11252E+04    0.39751E+02    0.25048E+02
   968    0.11182E+04    0.39897E+02    0.23759E+02
   969    0.11113E+04    0.40039E+02    0.22459E+02
   970    0.11046E+04    0.40175E+02    0.21145E+02
   971    0.10979E+04    0.40306E+02    0.19820E+02
   972    0.10914E+04    0.40431E+02    0.18485E+02
   973    0.10850E+04    0.40549E+02    0.17139E+02
   974    0.10788E+04    0.40663E+02    0.15782E+02
   975    0.10728E+04    0.40772E+02    0.14418E+02
   976    0.10669E+04    0.40873E+02    0.13044E+02
   977    0.10612E+04    0.40969E+02    0.11663E+02
   978    0.10555E+04    0.41060E+02    0.10275E+02
   979    0.10502E+04    0.41145E+02    0.88800E+01
   980    0.10449E+04    0.41223E+02    0.74787E+01
   981    0.10397E+04    0.41295E+02    0.60717E+01
   982    0.10347E+04    0.41362E+02    0.46599E+01
   983    0.10299E+04    0.41423E+02    0.32435E+01
   984    0.10252E+04    0.41476E+02    0.18231E+01
   985    0.10207E+04    0.41524E+02    0.39914E+00
   986    0.10162E+04    0.41566E+02   -0.10273E+01
   987    0.10119E+04    0.41602E+02   -0.24564E+01
   988    0.10078E+04    0.41633E+02   -0.38870E+01
   989    0.10039E+04    0.41657E+02   -0.53178E+01
   990    0.10001E+04    0.41678E+02   -0.67501E+01
   991    0.99646E+03    0.41690E+02   -0.81821E+01
   992    0.99296E+03    0.41696E+02   -0.96138E+01
   993    0.98953E+03    0.41695E+02   -0.11044E+02
   994    0.98631E+03    0.41690E+02   -0.12472E+02
   995    0.98332E+03    0.41678E+02   -0.13899E+02
   996    0.98040E+03    0.41658E+02   -0.15322E+02
   997    0.97762E+03    0.41635E+02   -0.16742E+02
   998    0.97499E+03    0.41604E+02   -0.18158E+02
   999    0.97250E+03    0.41568E+02   -0.19569E+02
  1000    0.97016E+03    0.41526E+02   -0.20976E+02
  1001    0.96796E+03    0.41478E+02   -0.22376E+02
  1002    0.96584E+03    0.41423E+02   -0.23770E+02
  1003    0.96394E+03    0.41363E+02   -0.25158E+02
  1004    0.96218E+03    0.41297E+02   -0.26538E+02
  1005    0.96064E+03    0.41225E+02   -0.27909E+02
  1006    0.95917E+03    0.41146E+02   -0.29273E+02
  1007    0.95778E+03    0.41062E+02   -0.30628E+02
  1008    0.95631E+03    0.40972E+02   -0.31973E+02
  1009    0.95521E+03    0.40876E+02   -0.33308E+02
  1010    0.95425E+03    0.40776E+02   -0.34632E+02
  1011    0.95337E+03    0.40670E+02   -0.35945E+02
  1012    0.95264E+03    0.40557E+02   -0.37249E+02
  1013    0.95205E+03    0.40441E+02   -0.38539E+02
